region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
low,0.0,0.1,6679,3310,3369,-6.938893903907228e-18,6.938893903907228e-18,5.143802050966428e-17
low,0.1,0.2,2373,0,2373,0.0,0.0,
low,0.2,0.30000000000000004,1886,0,1886,0.0,0.0,
low,0.30000000000000004,0.4,1503,0,1503,0.0,0.0,
low,0.4,0.5,1336,0,1336,0.0,0.0,
low,0.5,0.6000000000000001,1100,0,1100,0.0,0.0,
low,0.6000000000000001,0.7000000000000001,1007,0,1007,0.0,0.0,
low,0.7000000000000001,0.8,939,0,939,0.0,0.0,
low,0.8,0.9,866,0,866,0.0,0.0,
low,0.9,1.0,790,0,790,0.0,0.0,
low,1.0,1.1,745,0,745,0.0,0.0,
low,1.1,1.2000000000000002,733,0,733,0.0,0.0,
low,1.2000000000000002,1.3,739,0,739,0.0,0.0,
low,1.3,1.4000000000000001,692,0,692,0.0,0.0,
low,1.4000000000000001,1.5,701,0,701,0.0,0.0,
low,1.5,1.6,685,0,685,0.0,0.0,
low,1.6,1.7000000000000002,657,0,657,0.0,0.0,
low,1.7000000000000002,1.8,579,0,579,0.0,0.0,
low,1.8,1.9000000000000001,577,0,577,0.0,0.0,
low,1.9000000000000001,2.0,560,0,560,0.0,0.0,
low,2.0,2.1,600,0,600,0.0,0.0,
low,2.1,2.2,603,0,603,0.0,0.0,
low,2.2,2.3000000000000003,550,0,550,0.0,0.0,
low,2.3000000000000003,2.4000000000000004,553,0,553,0.0,0.0,
low,2.4000000000000004,2.5,524,0,524,0.0,0.0,
low,2.5,2.6,556,0,556,0.0,0.0,
low,2.6,2.7,549,0,549,0.0,0.0,
low,2.7,2.8000000000000003,531,2,529,0.00033546074129375825,5.195677616987027e-05,0.00038515558174724823
low,2.8000000000000003,2.9000000000000004,537,244,293,1.241085433401068e-05,2.41033148551395e-06,1.786778730211491e-05
low,2.9000000000000004,3.0,546,2,544,1.3076460867678108e-05,1.1873684739871493e-06,8.801962497666736e-06
low,3.0,3.1,502,222,280,7.148865855288733e-06,6.7948618154289875e-06,5.0370310637775086e-05
low,3.1,3.2,534,7,527,0.0010683476523472013,0.00020796119543708969,0.001541616341775146
low,3.2,3.3000000000000003,479,13,466,0.0015146541387474066,0.00011112342403984954,0.0008237579424074045
low,3.3000000000000003,3.4000000000000004,484,15,469,0.0008890999704662672,0.00024900725469967355,0.00184589077908868
low,3.4000000000000004,3.5,489,30,459,0.0033001595373409742,0.0009772619403727312,0.007244442763983056
low,3.5,3.6,480,61,419,0.009194467347040769,0.0007908706435073576,0.005862724080320041
low,3.6,3.7,468,61,407,0.010223577152249863,0.00031256892618158894,0.0023170734497841186
low,3.7,3.8000000000000003,438,86,352,0.013919079656862676,0.001353048284313596,0.010030146931616687
low,3.8000000000000003,3.9000000000000004,439,144,295,0.020421223986434534,0.0034216276918668243,0.02536452607980877
low,3.9000000000000004,4.0,459,163,296,0.0282177737400775,0.005199828310997301,0.03854632726942299
low,4.0,4.1000000000000005,414,16,398,0.03644135431329132,0.2217207724187904,1.6436160859404931
low,4.1000000000000005,4.2,419,0,419,-0.009779902838471521,0.6273401030804973,4.650472184135726
low,4.2,4.3,410,0,410,0.025881265738178172,0.6584152278003936,4.880832083684318
low,4.3,4.4,393,0,393,-0.03562081770759118,0.5255326110443188,3.895773245671535
low,4.4,4.5,414,0,414,-0.0015580843199185512,0.3823719035344959,2.834522920901218
low,4.5,4.6000000000000005,425,0,425,-0.003474586755703779,0.2677102319977753,1.9845359497995083
low,4.6000000000000005,4.7,388,2,386,0.0013634866722307404,0.23424741222156253,1.736476066798443
low,4.7,4.800000000000001,406,5,401,-0.0017810842589833786,0.22153333602155612,1.6422266199277955
low,4.800000000000001,4.9,366,27,339,0.0019371990636534164,0.22045336536896598,1.6342207974801448
low,4.9,5.0,414,23,391,-0.0041807807796463425,0.22532779627856359,1.6703549538129916
low,5.0,5.1000000000000005,399,13,386,0.002347346739504097,0.24371831139819866,1.8066838423948468
low,5.1000000000000005,5.2,418,10,408,-0.00662842157894783,0.25970930548255433,1.925225081542175
low,5.2,5.300000000000001,411,17,394,-0.00035849922906061593,0.25018500914738917,1.8546214728095958
low,5.300000000000001,5.4,429,0,429,-0.00020662649808178557,0.29240030868902167,2.1675634883117176
low,5.4,5.5,416,0,416,0.006231464867730407,0.29425811779794175,2.1813354272361423
low,5.5,5.6000000000000005,388,0,388,-0.009974261294401376,0.34258529790139236,2.5395848133430214
low,5.6000000000000005,5.7,366,0,366,0.020483949034594495,0.4067389849941694,3.0151560957617773
low,5.7,5.800000000000001,402,0,402,-0.014444801053539846,0.4929178378710559,3.653999932138137
low,5.800000000000001,5.9,347,0,347,-0.002566764112671205,0.49124776415098115,3.6416196756512234
low,5.9,6.0,386,0,386,0.02454923046270019,0.5465244186221658,4.051385515246116
low,6.0,6.1000000000000005,356,0,356,-0.020070767304636306,0.5613016032314702,4.160928784754888
low,6.1000000000000005,6.2,377,0,377,-0.001608706404609972,0.5070035578157497,3.758417374088152
low,6.2,6.300000000000001,370,0,370,0.0206020695901028,0.41825049487845845,3.100490918534012
low,6.300000000000001,6.4,345,0,345,-0.034805654417426446,0.3960209125764571,2.9357030249292766
low,6.4,6.5,353,0,353,0.029406936363635783,0.3768985838789063,2.7939492022943324
low,6.5,6.6000000000000005,354,0,354,-0.006769867961447851,0.3976260373038629,2.947601814533536
low,6.6000000000000005,6.7,411,0,411,0.0095180875579568,0.36372925548491963,2.6963249709097092
low,6.7,6.800000000000001,360,0,360,0.010983747101520613,0.31172707702026425,2.310832821951219
low,6.800000000000001,6.9,359,0,359,-0.009441295683662254,0.3781028153793806,2.8028761704073486
low,6.9,7.0,338,0,338,0.0029883553477936253,0.34251427673896817,2.539058333465971
low,7.0,7.1000000000000005,351,0,351,0.002200281001707882,0.4165605867619413,3.0879636296662705
low,7.1000000000000005,7.2,349,0,349,-0.0031954986422610965,0.3542824796603572,2.6262960217222275
low,7.2,7.300000000000001,342,0,342,0.0035202952812802835,0.3662182530879925,2.714775910141288
low,7.300000000000001,7.4,356,0,356,-0.011134140082518229,0.3442863562601861,2.5521947589567597
low,7.4,7.5,330,0,330,-0.0022959580073345087,0.3830756656996408,2.8397399098314366
low,7.5,7.6000000000000005,342,0,342,0.0027000945177944047,0.35027127692307625,2.596560975830764
low,7.6000000000000005,7.7,361,0,361,-0.007718715984764479,0.3489516154672416,2.5867783254586616
low,7.7,7.800000000000001,291,0,291,0.016378008456205517,0.36824145991602597,2.7297739423575003
low,7.800000000000001,7.9,336,0,336,-0.009560484135873404,0.39020955998208207,2.892623468147174
low,7.9,8.0,326,0,326,0.010747313057002605,0.38682273298640846,2.8675169196282457
low,8.0,8.1,317,0,317,-0.013944982991543231,0.3741547232719742,2.7736089636151444
low,8.1,8.200000000000001,334,0,334,0.017361789295207375,0.4023977824083973,2.982974760993449
low,8.200000000000001,8.3,347,0,347,-0.02171587549955989,0.4189449808445729,3.1056391430008183
