region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
low,0.0,0.6000000000000001,131,0,131,-0.0015807261900482317,0.2971130527281942,2.202499059874104
high,0.0,4.0,10060,418,9642,-0.024028943172407446,0.317411242421892,2.3529695400734854
low,0.6000000000000001,0.7000000000000001,397,0,397,0.002533799103191292,0.27220140370475354,2.017829005663338
low,0.7000000000000001,0.8,163,0,163,-0.009802732590362684,0.2536287490949176,1.8801499170406242
low,0.8,0.9,55,0,55,0.04155225638319093,0.34581135426593157,2.5634995691733504
low,0.9,1.0,35,0,35,-0.0006545752171924768,0.41397549958301827,3.068800378408914
low,1.0,1.2000000000000002,55,0,55,-0.04237675782826145,0.34965842325142393,2.5920178915628056
low,1.2000000000000002,1.3,270,0,270,-0.028079588522524457,0.22574072227777964,1.6734159742451804
low,1.3,1.4000000000000001,407,0,407,0.023181691902144586,0.268471343299423,1.9901780678786227
low,1.4000000000000001,1.5,468,2,466,-0.008863633965287221,0.28516170317138534,2.1139037056094794
low,1.5,1.6,484,0,484,0.004384219196252426,0.2925281685414449,2.168511313397731
low,1.6,1.7000000000000002,545,0,545,-0.0066462546233583275,0.2593428970813667,1.9225088960641712
low,1.7000000000000002,1.8,498,0,498,0.0028885982053923343,0.30662693514407646,2.273025470223039
low,1.8,1.9000000000000001,493,86,407,-0.8757192233051407,1.583861972969765,11.741168805624866
low,1.9000000000000001,2.0,484,42,442,-0.5847858191793536,0.9969512368595921,7.390399518840156
low,2.0,2.1,470,0,470,-0.0031697031720330227,0.2995128585428972,2.220288820378497
low,2.1,2.2,394,1,393,0.003377129091083564,0.2643344175212732,1.9595110370851978
low,2.2,2.3000000000000003,407,0,407,-0.008913789700866204,0.28992857379470394,2.1492405175401403
low,2.3000000000000003,2.4000000000000004,349,0,349,-0.006232644693373146,0.304175250831038,2.2548511344104845
low,2.4000000000000004,2.5,267,0,267,0.012009531290722908,0.28990211729632165,2.1490443955176324
low,2.5,2.6,184,0,184,-0.004735811523487232,0.33863936782642967,2.510333633697323
low,2.6,2.7,170,1,169,-0.0005171187391310728,0.4040851629035067,2.995483312603695
low,2.7,2.8000000000000003,154,0,154,0.02793472725268864,0.43478646233397167,3.223072045281732
low,2.8000000000000003,2.9000000000000004,160,1,159,-0.01932640382639761,0.35618226160825817,2.6403791053020176
low,2.9000000000000004,3.0,152,1,151,0.002763070733156958,0.2907977438848406,2.1556836754183233
low,3.0,3.1,184,0,184,-0.02961587575846214,0.29716727728064796,2.2029010264814435
low,3.1,3.2,221,4,217,0.026631757702032743,0.3020388191657015,2.2390137664753453
low,3.2,3.3000000000000003,269,2,267,-0.006210096250797381,0.2974744572249226,2.2051781514083513
low,3.3000000000000003,3.4000000000000004,247,0,247,0.010216376148651563,0.3632387086657096,2.6926885473389053
low,3.4000000000000004,3.5,312,2,310,-0.000305194689969257,0.33246661244527975,2.4645749980568588
low,3.5,3.6,304,0,304,0.005279423541009187,0.3263557937150243,2.4192754988094753
low,3.6,3.7,336,0,336,-0.005045445750778921,0.3137285022830929,2.3256693874245675
low,3.7,3.8000000000000003,366,1,365,0.021119084726182624,0.31002286260487866,2.2981994804899655
low,3.8000000000000003,3.9000000000000004,306,0,306,-0.015158188496032565,0.35489219970656927,2.6308158764247978
low,3.9000000000000004,4.0,323,0,323,0.00816410484273522,0.2875526960324324,2.131628135688421
low,4.0,4.1000000000000005,302,1,301,-0.00556150377382747,0.3146834849702129,2.332748674084188
