开始时间,结束时间,hard_anomaly_source,字段名,重复值,持续长度
2023-09-28 09:15:00,2023-09-28 09:19:00,fan_joint_repeat,,,
2023-09-28 09:24:00,2023-09-28 09:27:00,fan_joint_repeat,,,
2023-09-28 09:34:00,2023-09-28 09:37:00,fan_joint_repeat,,,
2023-10-21 12:00:00,2023-10-21 12:03:00,fan_joint_repeat,,,
2023-10-21 14:35:00,2023-10-21 14:38:00,fan_joint_repeat,,,
2023-11-02 14:21:00,2023-11-02 14:35:00,fan_joint_repeat,,,
2023-12-20 15:04:00,2023-12-20 15:07:00,fan_joint_repeat,,,
2024-01-05 15:33:00,2024-01-05 15:36:00,fan_joint_repeat,,,
2024-02-28 10:54:00,2024-02-28 10:57:00,fan_joint_repeat,,,
2024-02-29 13:59:00,2024-02-29 14:12:00,fan_joint_repeat,,,
2024-03-02 05:16:00,2024-03-02 05:30:00,fan_joint_repeat,,,
2024-03-04 10:39:00,2024-03-04 10:42:00,fan_joint_repeat,,,
2024-03-29 15:28:00,2024-03-29 15:31:00,fan_joint_repeat,,,
2024-04-11 13:53:00,2024-04-11 14:36:00,fan_joint_repeat,,,
2024-04-12 10:50:00,2024-04-12 10:56:00,fan_joint_repeat,,,
2024-04-12 11:11:00,2024-04-12 11:30:00,fan_joint_repeat,,,
2024-04-13 12:01:00,2024-04-13 12:04:00,fan_joint_repeat,,,
2024-04-14 14:50:00,2024-04-14 15:14:00,fan_joint_repeat,,,
2024-04-14 15:15:00,2024-04-14 15:29:00,fan_joint_repeat,,,
2024-04-14 15:37:00,2024-04-14 15:40:00,fan_joint_repeat,,,
2024-04-14 16:33:00,2024-04-14 16:48:00,fan_joint_repeat,,,
2024-04-15 14:24:00,2024-04-15 14:27:00,fan_joint_repeat,,,
2024-04-23 10:06:00,2024-04-23 10:12:00,fan_joint_repeat,,,
2024-05-23 10:35:00,2024-05-23 10:38:00,fan_joint_repeat,,,
2024-06-07 14:55:00,2024-06-07 14:58:00,fan_joint_repeat,,,
2024-06-26 11:25:00,2024-06-26 11:32:00,fan_joint_repeat,,,
2024-07-01 11:24:00,2024-07-01 12:44:00,fan_joint_repeat,,,
2024-07-01 13:08:00,2024-07-01 13:12:00,fan_joint_repeat,,,
2024-07-01 13:13:00,2024-07-01 13:16:00,fan_joint_repeat,,,
2024-07-01 16:22:00,2024-07-01 16:29:00,fan_joint_repeat,,,
2024-07-02 17:05:00,2024-07-02 17:08:00,fan_joint_repeat,,,
2024-07-02 17:46:00,2024-07-02 17:51:00,fan_joint_repeat,,,
2024-07-04 17:43:00,2024-07-04 17:59:00,fan_joint_repeat,,,
2024-07-05 11:14:00,2024-07-05 11:17:00,fan_joint_repeat,,,
2024-07-05 16:49:00,2024-07-05 16:55:00,fan_joint_repeat,,,
2024-07-05 18:54:00,2024-07-05 18:57:00,fan_joint_repeat,,,
2024-07-09 21:03:00,2024-07-09 21:17:00,fan_joint_repeat,,,
2024-07-10 16:22:00,2024-07-10 16:29:00,fan_joint_repeat,,,
2024-07-11 15:10:00,2024-07-11 15:13:00,fan_joint_repeat,,,
2024-07-12 11:18:00,2024-07-12 11:24:00,fan_joint_repeat,,,
2024-07-25 10:39:00,2024-07-25 11:15:00,fan_joint_repeat,,,
2024-07-25 11:16:00,2024-07-25 11:29:00,fan_joint_repeat,,,
2024-07-25 13:22:00,2024-07-25 13:25:00,fan_joint_repeat,,,
2024-07-25 13:26:00,2024-07-25 14:01:00,fan_joint_repeat,,,
2024-07-25 15:08:00,2024-07-25 15:40:00,fan_joint_repeat,,,
2024-07-25 17:43:00,2024-07-25 17:47:00,fan_joint_repeat,,,
2024-01-25 10:51:00,2024-02-02 19:13:00,fan_joint_repeat,,,
2024-02-26 10:01:00,2024-02-26 10:04:00,fan_joint_repeat,,,
2024-02-26 10:13:00,2024-02-26 10:16:00,fan_joint_repeat,,,
2024-05-06 16:46:00,2024-05-06 16:50:00,fan_joint_repeat,,,
2024-05-07 15:25:00,2024-05-07 15:28:00,fan_joint_repeat,,,
2024-07-04 17:45:00,2024-07-04 17:59:00,fan_joint_repeat,,,
2023-10-15 09:28:00,2023-10-15 15:43:00,fan_joint_repeat,,,
2024-01-25 10:41:00,2024-02-02 19:13:00,fan_joint_repeat,,,
2024-07-25 11:16:00,2024-07-25 11:30:00,fan_joint_repeat,,,
2024-06-07 10:58:00,2024-06-07 11:01:00,fan_joint_repeat,,,
2024-07-25 10:39:00,2024-07-25 11:30:00,fan_joint_repeat,,,
2024-07-25 15:08:00,2024-07-25 15:38:00,fan_joint_repeat,,,
2024-05-13 12:11:00,2024-05-13 12:20:00,fan_joint_repeat,,,
2024-06-06 14:15:00,2024-06-06 14:20:00,fan_joint_repeat,,,
2024-01-25 10:40:00,2024-02-02 19:10:00,fan_joint_repeat,,,
2023-10-28 14:26:00,2023-10-28 17:40:00,fan_joint_repeat,,,
2024-03-30 11:39:00,2024-03-30 16:11:00,fan_joint_repeat,,,
2024-04-09 09:50:00,2024-04-09 12:58:00,fan_joint_repeat,,,
2024-01-25 10:43:00,2024-02-02 19:10:00,fan_joint_repeat,,,
2024-06-07 12:57:00,2024-06-07 13:01:00,fan_joint_repeat,,,
2023-11-14 12:44:00,2023-11-14 13:00:00,fan_joint_repeat,,,
2024-01-25 08:45:00,2024-02-02 18:08:00,fan_joint_repeat,,,
2024-05-24 15:42:00,2024-05-24 15:54:00,fan_joint_repeat,,,
2023-12-18 11:59:00,2023-12-18 12:02:00,fan_joint_repeat,,,
2024-03-10 12:16:00,2024-03-10 12:35:00,fan_joint_repeat,,,
2024-04-09 07:09:00,2024-04-09 19:02:00,fan_joint_repeat,,,
2023-10-23 17:58:00,2023-10-23 18:02:00,fan_joint_repeat,,,
2024-04-22 14:30:00,2024-04-22 14:34:00,fan_joint_repeat,,,
2024-04-25 14:39:00,2024-04-25 17:28:00,fan_joint_repeat,,,
2023-12-31 20:04:00,2024-01-03 12:37:00,fan_joint_repeat,,,
2023-10-14 14:16:00,2023-10-14 19:30:00,fan_joint_repeat,,,
2024-02-03 04:05:00,2024-02-27 21:11:00,fan_joint_repeat,,,
2024-03-05 02:04:00,2024-03-05 02:15:00,fan_joint_repeat,,,
2024-01-25 09:21:00,2024-02-02 18:32:00,fan_joint_repeat,,,
2024-01-25 10:57:00,2024-02-02 19:15:00,fan_joint_repeat,,,
2024-04-16 09:18:00,2024-04-16 09:30:00,fan_joint_repeat,,,
2024-05-08 17:08:00,2024-05-08 19:34:00,fan_joint_repeat,,,
2024-05-13 11:14:00,2024-05-13 11:18:00,fan_joint_repeat,,,
2024-07-25 13:26:00,2024-07-25 14:02:00,fan_joint_repeat,,,
2024-01-25 09:29:00,2024-02-02 18:34:00,fan_joint_repeat,,,
2024-04-24 07:55:00,2024-04-24 12:50:00,fan_joint_repeat,,,
2024-06-13 11:34:00,2024-06-13 11:37:00,fan_joint_repeat,,,
2024-06-13 11:45:00,2024-06-13 11:48:00,fan_joint_repeat,,,
