开始时间,结束时间,持续分钟数,硬异常来源,硬异常来源说明
2023-09-25 21:36:00,2023-09-25 21:50:00,15,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,站端功率连续重复,ACTIVE_POWER_STATION 重复值大于阈值且持续长度大于阈值
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:23:00,2023-09-28 09:27:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:24:00,2023-09-28 09:27:00,4,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
