分段ID,开始时间,结束时间,持续时长min,纳入统计分钟数,冻结风机数,重复风机功率之和MW,风机编号列表,原异常分钟数,修正后异常分钟数,异常分钟数变化量,原异常占比,修正后异常占比,异常占比变化量,原异常程度总和,修正后异常程度总和,异常程度变化量,异常程度下降率,原平均异常程度,修正后平均异常程度,原最大异常程度,修正后最大异常程度,原偏离程度总和,修正后偏离程度总和,偏离程度变化量,偏离程度下降率,原平均偏离程度,修正后平均偏离程度,原最大偏离程度,修正后最大偏离程度,原负损耗分钟数,修正后负损耗分钟数,站端功率重复硬异常分钟数,物理越限硬异常分钟数,风机联合重复标记分钟数,是否异常分钟减少,是否异常程度下降,是否偏离程度下降,是否全部修正为正常,重复详情
1,2023-09-21 00:00:00,2023-09-25 21:35:00,7056,7049,0,0.0,,819,819,0,0.116071,0.116071,0.0,172.274662,172.274662,0.0,0.0,0.02444,0.02444,1.857983,1.857983,1676.586005,1676.586005,0.0,0.0,0.237847,0.237847,2.358668,2.358668,21,21,0.0,0,0,False,False,False,False,
2,2023-09-25 21:36:00,2023-09-25 21:50:00,15,15,1,0.00055,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0,15,False,False,False,False,"38[status=3.0,P=0.55,WS=2.85]"
3,2023-09-25 21:51:00,2023-09-28 09:14:00,3564,3564,0,0.0,,168,168,0,0.047138,0.047138,0.0,23.083035,23.083035,0.0,0.0,0.006477,0.006477,1.022846,1.022846,418.87696,418.87696,0.0,0.0,0.11753,0.11753,1.950538,1.950538,2,2,0.0,0,0,False,False,False,False,
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,58,21.6867,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.0,403.01278,0.0,403.01278,0.595713,2015.0639,2014.468187,-3381.610429,0.119143,403.01278,0.119143,403.01278,0,5,5.0,0,5,False,False,False,False,"1[status=5.0,P=317.56,WS=4.22] 、 2[status=5.0,P=334.21,WS=4.23] 、 3[status=5.0,P=307.32,WS=4.16] 、 4[status=5.0,P=297.07,WS=4.0] 、 5[status=5.0,P=421.28,WS=4.64] 、 6[status=5.0,P=494.27,WS=4.84] 、 7[status=5.0,P=364.94,WS=4.84] 、 8[status=5.0,P=441.77,WS=4.62] 、 9[status=5.0,P=313.72,WS=4.08] 、 10[status=5.0,P=394.39,WS=4.45] 、 11[status=5.0,P=505.79,WS=4.83] 、 12[status=5.0,P=377.74,WS=4.35] 、 13[status=5.0,P=390.55,WS=4.26] 、 14[status=5.0,P=402.07,WS=4.39] 、 15[status=5.0,P=375.18,WS=4.3] 、 16[status=5.0,P=350.85,WS=4.21] 、 17[status=5.0,P=373.9,WS=4.4] 、 18[status=5.0,P=376.46,WS=4.29] 、 19[status=5.0,P=293.23,WS=4.01] 、 20[status=5.0,P=361.1,WS=4.29] 、 21[status=5.0,P=339.33,WS=4.15] 、 22[status=5.0,P=396.95,WS=4.36] 、 23[status=5.0,P=332.93,WS=4.14] 、 24[status=5.0,P=387.99,WS=4.4] 、 25[status=5.0,P=381.58,WS=4.4] 、 26[status=5.0,P=441.77,WS=4.52] 、 27[status=5.0,P=539.08,WS=4.88] 、 28[status=5.0,P=386.71,WS=4.34] 、 29[status=5.0,P=418.72,WS=4.45] 、 30[status=5.0,P=399.51,WS=4.35] 、 31[status=5.0,P=368.78,WS=4.42] 、 32[status=5.0,P=496.83,WS=4.73] 、 33[status=5.0,P=599.27,WS=5.0] 、 34[status=5.0,P=364.94,WS=4.45] 、 35[status=5.0,P=195.91,WS=3.67] 、 36[status=5.0,P=266.34,WS=3.91] 、 37[status=5.0,P=344.45,WS=4.08] 、 38[status=5.0,P=495.55,WS=4.67] 、 39[status=5.0,P=183.54,WS=4.02] 、 40[status=5.0,P=323.53,WS=4.38] 、 41[status=5.0,P=393.53,WS=4.64] 、 42[status=5.0,P=149.39,WS=4.2] 、 43[status=5.0,P=390.97,WS=4.54] 、 44[status=5.0,P=307.32,WS=4.36] 、 45[status=5.0,P=373.9,WS=4.66] 、 46[status=5.0,P=402.07,WS=3.88] 、 47[status=5.0,P=346.58,WS=4.58] 、 48[status=5.0,P=282.56,WS=4.03] 、 49[status=5.0,P=506.22,WS=4.64] 、 50[status=5.0,P=182.68,WS=4.08] 、 51[status=5.0,P=459.27,WS=4.48] 、 52[status=5.0,P=191.22,WS=4.41] 、 53[status=5.0,P=478.9,WS=4.85] 、 54[status=5.0,P=501.09,WS=4.78] 、 55[status=5.0,P=247.56,WS=4.62] 、 56[status=5.0,P=353.41,WS=4.54] 、 57[status=5.0,P=393.53,WS=4.33] 、 58[status=5.0,P=569.39,WS=4.27]"
5,2023-09-28 09:20:00,2023-09-28 09:22:00,3,3,0,0.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.598751,0.598751,0.0,0.0,0.199584,0.199584,0.297596,0.297596,0,0,0.0,0,0,False,False,False,False,
6,2023-09-28 09:23:00,2023-09-28 09:23:00,1,1,9,2.36804,46、47、50、51、52、53、54、55、56,0,1,1,0.0,1.0,1.0,0.0,1.233725,1.233725,,0.0,1.233725,0.0,1.233725,0.313885,1.689188,1.375303,-4.381551,0.313885,1.689188,0.313885,1.689188,0,1,0.0,0,1,False,False,False,False,"46[status=5.0,P=214.27,WS=4.23] 、 47[status=5.0,P=367.92,WS=4.29] 、 50[status=5.0,P=39.27,WS=3.69] 、 51[status=5.0,P=459.27,WS=5.24] 、 52[status=5.0,P=240.73,WS=3.9] 、 53[status=5.0,P=472.92,WS=4.62] 、 54[status=5.0,P=233.05,WS=4.46] 、 55[status=5.0,P=113.54,WS=4.11] 、 56[status=5.0,P=227.07,WS=4.37]"
7,2023-09-28 09:24:00,2023-09-28 09:27:00,4,4,57,15.62912,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,4,4,0,1.0,1.0,0.0,0.0,1156.75536,1156.75536,,0.0,289.18884,0.0,289.18884,1.692291,1156.75536,1155.063069,-682.54419,0.423073,289.18884,0.423073,289.18884,0,4,4.0,0,4,False,False,False,False,"1[status=5.0,P=373.9,WS=4.32] 、 2[status=5.0,P=277.86,WS=3.94] 、 3[status=5.0,P=303.47,WS=4.05] 、 4[status=5.0,P=298.35,WS=4.06] 、 5[status=5.0,P=336.77,WS=4.18] 、 6[status=5.0,P=428.96,WS=4.53] 、 7[status=5.0,P=317.56,WS=4.53] 、 8[status=5.0,P=417.44,WS=4.36] 、 9[status=5.0,P=379.02,WS=4.33] 、 10[status=5.0,P=276.58,WS=4.03] 、 11[status=5.0,P=408.47,WS=4.45] 、 12[status=5.0,P=343.17,WS=4.2] 、 13[status=5.0,P=308.6,WS=4.09] 、 14[status=5.0,P=311.16,WS=4.06] 、 15[status=5.0,P=285.55,WS=4.06] 、 16[status=5.0,P=329.08,WS=4.21] 、 17[status=5.0,P=329.08,WS=4.15] 、 18[status=5.0,P=302.19,WS=4.0] 、 19[status=5.0,P=262.5,WS=3.86] 、 20[status=5.0,P=325.24,WS=4.17] 、 21[status=5.0,P=133.17,WS=3.21] 、 22[status=5.0,P=294.51,WS=3.98] 、 23[status=5.0,P=161.34,WS=3.53] 、 24[status=5.0,P=320.12,WS=4.11] 、 25[status=5.0,P=384.14,WS=4.3] 、 26[status=5.0,P=357.25,WS=4.26] 、 27[status=5.0,P=361.1,WS=4.24] 、 28[status=5.0,P=281.71,WS=4.02] 、 29[status=5.0,P=131.89,WS=3.18] 、 30[status=5.0,P=353.41,WS=4.25] 、 31[status=5.0,P=186.95,WS=3.6] 、 32[status=5.0,P=244.57,WS=3.88] 、 33[status=5.0,P=257.38,WS=3.93] 、 34[status=5.0,P=179.27,WS=3.59] 、 35[status=5.0,P=308.6,WS=4.05] 、 36[status=5.0,P=331.64,WS=4.13] 、 37[status=5.0,P=306.03,WS=4.12] 、 38[status=5.0,P=350.85,WS=4.28] 、 39[status=5.0,P=174.15,WS=4.49] 、 40[status=5.0,P=328.66,WS=4.32] 、 42[status=5.0,P=292.8,WS=4.48] 、 43[status=5.0,P=36.71,WS=3.88] 、 44[status=5.0,P=160.49,WS=4.17] 、 45[status=5.0,P=156.22,WS=3.97] 、 46[status=5.0,P=214.27,WS=4.23] 、 47[status=5.0,P=367.92,WS=4.29] 、 48[status=5.0,P=217.68,WS=3.9] 、 49[status=5.0,P=58.05,WS=3.91] 、 50[status=5.0,P=39.27,WS=3.69] 、 51[status=5.0,P=459.27,WS=5.24] 、 52[status=5.0,P=240.73,WS=3.9] 、 53[status=5.0,P=472.92,WS=4.62] 、 54[status=5.0,P=233.05,WS=4.46] 、 55[status=5.0,P=113.54,WS=4.11] 、 56[status=5.0,P=227.07,WS=4.37] 、 57[status=5.0,P=168.17,WS=4.18] 、 58[status=5.0,P=109.27,WS=4.2]"
8,2023-09-28 09:28:00,2023-09-28 09:33:00,6,6,0,0.0,,2,2,0,0.333333,0.333333,0.0,0.054385,0.054385,-0.0,0.0,0.009064,0.009064,0.038001,0.038001,1.998024,1.998024,0.0,0.0,0.333004,0.333004,0.488921,0.488921,0,0,0.0,0,0,False,True,False,False,
9,2023-09-28 09:34:00,2023-09-28 09:37:00,4,4,49,11.9934,1、2、3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、44、45、46、47、48、50、58,4,4,0,1.0,1.0,0.0,0.0,785.45848,785.45848,,0.0,196.36462,0.0,196.36462,0.13232,785.45848,785.32616,-5935.068951,0.03308,196.36462,0.03308,196.36462,0,4,4.0,0,4,False,False,False,False,"1[status=5.0,P=247.13,WS=3.8] 、 2[status=5.0,P=457.13,WS=4.49] 、 3[status=5.0,P=403.35,WS=4.45] 、 4[status=5.0,P=373.9,WS=4.33] 、 5[status=5.0,P=322.68,WS=4.06] 、 6[status=5.0,P=315.0,WS=4.1] 、 7[status=5.0,P=316.28,WS=4.1] 、 8[status=5.0,P=380.3,WS=4.31] 、 9[status=5.0,P=330.36,WS=4.2] 、 10[status=5.0,P=261.22,WS=3.93] 、 11[status=5.0,P=367.5,WS=4.32] 、 12[status=5.0,P=330.36,WS=4.05] 、 13[status=5.0,P=334.21,WS=4.31] 、 14[status=5.0,P=288.11,WS=4.03] 、 15[status=5.0,P=288.11,WS=3.99] 、 16[status=5.0,P=222.8,WS=3.71] 、 17[status=5.0,P=299.63,WS=4.0] 、 18[status=5.0,P=371.34,WS=4.32] 、 19[status=5.0,P=329.08,WS=4.18] 、 20[status=5.0,P=234.33,WS=3.79] 、 21[status=5.0,P=89.63,WS=3.02] 、 22[status=5.0,P=257.38,WS=3.91] 、 23[status=5.0,P=261.22,WS=3.89] 、 24[status=5.0,P=165.18,WS=3.46] 、 25[status=5.0,P=343.17,WS=4.21] 、 26[status=5.0,P=300.91,WS=3.97] 、 27[status=5.0,P=323.96,WS=4.11] 、 28[status=5.0,P=315.0,WS=4.09] 、 29[status=5.0,P=121.65,WS=3.25] 、 30[status=5.0,P=226.65,WS=3.74] 、 31[status=5.0,P=158.78,WS=3.47] 、 32[status=5.0,P=331.64,WS=4.2] 、 33[status=5.0,P=157.5,WS=3.43] 、 34[status=5.0,P=160.06,WS=3.5] 、 35[status=5.0,P=195.91,WS=3.63] 、 36[status=5.0,P=265.06,WS=3.89] 、 37[status=5.0,P=198.47,WS=3.61] 、 38[status=5.0,P=138.29,WS=3.44] 、 39[status=5.0,P=223.66,WS=5.14] 、 40[status=5.0,P=175.85,WS=4.18] 、 41[status=5.0,P=66.59,WS=3.74] 、 42[status=5.0,P=113.54,WS=3.89] 、 44[status=5.0,P=189.51,WS=4.0] 、 45[status=5.0,P=185.24,WS=3.99] 、 46[status=5.0,P=22.2,WS=3.79] 、 47[status=5.0,P=299.63,WS=4.04] 、 48[status=5.0,P=30.73,WS=3.61] 、 50[status=5.0,P=48.66,WS=3.45] 、 58[status=5.0,P=154.51,WS=4.06]"
10,2023-09-28 09:38:00,2023-10-14 14:15:00,23318,23295,0,0.0,,2309,2309,0,0.099022,0.099022,0.0,414.707363,414.707363,-0.0,0.0,0.017802,0.017802,12.553495,12.553495,5018.887955,5018.887955,-0.0,0.0,0.215449,0.215449,13.057258,13.057258,46,46,0.0,0,0,False,True,True,False,
