分段ID,开始时间,结束时间,持续时长min,冻结风机数,重复风机功率之和MW,风机编号,状态码,冻结有功kW,非负冻结有功kW,冻结风速ms,重复值组合,原始开始时间,原始结束时间,原始持续长度min,原异常分钟数,修正后异常分钟数,异常分钟数变化量,原异常占比,修正后异常占比,异常占比变化量,原异常程度总和,修正后异常程度总和,异常程度变化量,异常程度下降率,原偏离程度总和,修正后偏离程度总和,偏离程度变化量,偏离程度下降率
2,2023-09-25 21:36:00,2023-09-25 21:50:00,15,1,0.00055,38,3.0,0.55,0.55,2.85,"(3.0, 0.55, 298.35, 2.85, 152.96)",2023-09-25 21:36:00,2023-09-25 21:50:00,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,1,5.0,317.56,317.56,4.22,"(5.0, 317.56, -737.56, 4.22, 169.21)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,2,5.0,334.21,334.21,4.23,"(5.0, 334.21, -886.09, 4.23, 192.76)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,3,5.0,307.32,307.32,4.16,"(5.0, 307.32, -749.08, 4.16, 181.83)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,4,5.0,297.07,297.07,4.0,"(5.0, 297.07, -738.84, 4.0, 176.5)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,5,5.0,421.28,421.28,4.64,"(5.0, 421.28, -746.52, 4.64, 183.86)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,6,5.0,494.27,494.27,4.84,"(5.0, 494.27, -754.2, 4.84, 186.92)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,7,5.0,364.94,364.94,4.84,"(5.0, 364.94, -745.24, 4.84, 163.38)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,8,5.0,441.77,441.77,4.62,"(5.0, 441.77, -752.92, 4.62, 161.2)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,9,5.0,313.72,313.72,4.08,"(5.0, 313.72, -751.64, 4.08, 174.55)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,10,5.0,394.39,394.39,4.45,"(5.0, 394.39, -751.64, 4.45, 157.26)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,11,5.0,505.79,505.79,4.83,"(5.0, 505.79, -758.04, 4.83, 179.54)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,12,5.0,377.74,377.74,4.35,"(5.0, 377.74, -755.48, 4.35, 165.01)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,13,5.0,390.55,390.55,4.26,"(5.0, 390.55, -755.48, 4.26, 174.72)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,14,5.0,402.07,402.07,4.39,"(5.0, 402.07, -752.92, 4.39, 149.4)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,15,5.0,375.18,375.18,4.3,"(5.0, 375.18, -752.92, 4.3, 170.68)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,16,5.0,350.85,350.85,4.21,"(5.0, 350.85, -756.76, 4.21, 164.79)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
4,2023-09-28 09:15:00,2023-09-28 09:19:00,5,58,21.6867,17,5.0,373.9,373.9,4.4,"(5.0, 373.9, -755.48, 4.4, 174.55)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,2015.0639,2015.0639,,0.595713,2015.0639,2014.468187,-3381.610429
