推荐排序,场站,阈值,推荐参考分数,异常分段占比,修正后保留分段占比,保留不修正分段占比,正常分段占比,总分段数,最终有效异常程度改善量,最终有效异常分钟数改善量,最终有效偏离程度改善量,重复正功率>0分段有效异常程度改善量,重复正功率>0分段有效异常分钟数改善量,重复正功率>0分段有效偏离程度改善量,推荐说明
1,JMZSFD,0.5,0.2935034429853697,0.2311111111111111,0.05333333333333334,0.3111111111111111,0.40444444444444444,225.0,32237.647066999998,29990.0,45445.61706,32237.647067,29990.0,45445.61705999999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
2,JMZSFD,0.4,0.2668338285264835,0.24888888888888888,0.04888888888888889,0.3022222222222222,0.4,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
3,JMZSFD,0.28,0.24016716185981685,0.27555555555555555,0.04888888888888889,0.28,0.39555555555555555,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
4,JMZSFD,0.29,0.24016716185981685,0.27555555555555555,0.04888888888888889,0.28,0.39555555555555555,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
5,JMZSFD,0.3,0.24016716185981685,0.27555555555555555,0.04888888888888889,0.28,0.39555555555555555,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
6,JMZSFD,0.27,0.23572271741537237,0.28,0.04888888888888889,0.28,0.39111111111111113,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
7,JMZSFD,0.26,0.23127827297092796,0.28444444444444444,0.04888888888888889,0.28,0.38666666666666666,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
8,JMZSFD,0.24,0.21794493963759465,0.29777777777777775,0.04888888888888889,0.26666666666666666,0.38666666666666666,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
9,JMZSFD,0.25,0.21794493963759465,0.29777777777777775,0.04888888888888889,0.26666666666666666,0.38666666666666666,225.0,32234.711322999996,29989.0,45442.013227999996,32234.711323,29989.0,45442.01322799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
10,JMZSFD,0.21,0.19333748891513075,0.3111111111111111,0.044444444444444446,0.26222222222222225,0.38222222222222224,225.0,30236.975801,29085.0,41949.729247999996,30236.975801,29085.0,41949.72924799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
