场站,阈值,分段类别,分段数,异常分段数,异常分段占比,覆盖分钟数,纳入统计分钟数,原异常分钟数,原异常分钟占纳入统计分钟比例,原异常程度总和,原平均异常程度_按异常分钟,原最大异常程度,原偏离程度总和,原平均偏离程度_按纳入统计分钟,原最大偏离程度
JMZSFD,0.05,重复正功率>0分段,134,79,0.5895522388059702,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.05,重复正功率=0，且冻结风机数=0,91,57,0.6263736263736264,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.05,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.06,重复正功率>0分段,134,79,0.5895522388059702,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.06,重复正功率=0，且冻结风机数=0,91,51,0.5604395604395604,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.06,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.07,重复正功率>0分段,134,78,0.582089552238806,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.07,重复正功率=0，且冻结风机数=0,91,43,0.4725274725274725,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.07,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.08,重复正功率>0分段,134,77,0.5746268656716418,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.08,重复正功率=0，且冻结风机数=0,91,35,0.38461538461538464,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.08,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.09,重复正功率>0分段,134,75,0.5597014925373134,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.09,重复正功率=0，且冻结风机数=0,91,27,0.2967032967032967,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.09,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.1,重复正功率>0分段,134,75,0.5597014925373134,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.1,重复正功率=0，且冻结风机数=0,91,21,0.23076923076923078,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.1,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.11,重复正功率>0分段,134,73,0.5447761194029851,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.11,重复正功率=0，且冻结风机数=0,91,19,0.2087912087912088,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.11,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.12,重复正功率>0分段,134,73,0.5447761194029851,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
JMZSFD,0.12,重复正功率=0，且冻结风机数=0,91,14,0.15384615384615385,393595.0,387322.0,32602.0,0.08417285875834576,7552.854932000001,0.23166845383718793,24.646726,76927.24819500001,0.1986131647440631,25.244368
JMZSFD,0.12,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
JMZSFD,0.13,重复正功率>0分段,134,72,0.5373134328358209,56315.0,56275.0,34807.0,0.6185162150155487,37389.16138,1.0741851173614503,114.380108,58306.55803199999,1.0361005425499776,114.936332
