场站,阈值,修正作用情况,对应最终处理方式,分段数,分段占比,覆盖分钟数,覆盖分钟占比,纳入统计分钟数,原异常分钟数,修正后异常分钟数,异常分钟数净变化量（修正后-原）,有效异常分钟数改善量,原异常程度总和,修正后异常程度总和,异常程度净变化量（修正后-原）,有效异常程度改善量,有效异常程度改善率,原偏离程度总和,修正后偏离程度总和,偏离程度净变化量（修正后-原）,有效偏离程度改善量,有效偏离程度改善率,重复正功率>0总分段数,重复正功率>0总覆盖分钟数,重复正功率>0总纳入统计分钟数,重复正功率>0总原异常分钟数,重复正功率>0总修正后异常分钟数,重复正功率>0总原异常程度,重复正功率>0总修正后异常程度,重复正功率>0总原偏离程度,重复正功率>0总修正后偏离程度
JMZSFD,0.05,情况1：修正前正常，修正后异常，保留（不修正）,保留（不修正）,12,0.08955223880597014,67.0,0.001189736304714552,67.0,1.0,61.0,60.0,0.0,0.57996,22513.920939,22513.340979,0.0,0.0,12.061612,22543.307742999998,22531.246130999996,0.0,0.0,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.05,情况2：修正前异常，修正后正常，修正后保留,修正后保留,1,0.007462686567164179,49.0,0.000870105655686762,49.0,35.0,1.0,-34.0,34.0,9.696131,0.25492,-9.441211,9.441211,0.9737091010837209,31.491479,8.543402,-22.948077,22.948077,0.7287075021150959,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.05,情况3：修正前正常，修正后正常，修正后改善，修正后保留,修正后保留,3,0.022388059701492536,557.0,0.009890792861582171,557.0,8.0,8.0,0.0,1.0,0.557781,2.928053,2.370272,0.06437599999999999,0.11541447270523734,68.148033,66.750259,-1.3977739999999983,1.3977739999999985,0.02051084878708089,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.05,情况4：修正前正常，修正后正常，修正后不变，保留（不修正）,保留（不修正）,32,0.23880597014925373,12600.0,0.22374145431945308,12590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.05,情况5：修正前正常，修正后正常，修正后恶化，保留（不修正）,保留（不修正）,8,0.05970149253731343,201.0,0.003569208914143656,201.0,5.0,5.0,0.0,0.0,1.167568,1.206379,0.03881100000000015,0.0,0.0,32.191657,32.774756,0.5830989999999971,0.0,0.0,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.05,情况6：修正前异常，修正后异常，修正后改善，标记为异常分段,标记为异常分段,10,0.07462686567164178,39995.0,0.7102015448814702,39980.0,33594.0,3639.0,-29955.0,0.0,33262.550456,1033.241839,-32229.308617,0.0,0.0,53258.492272999996,7836.251836,-45422.24043699999,0.0,0.0,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.05,情况7：修正前异常，修正后异常，修正后不变，标记为异常分段,标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.05,情况8：修正前异常，修正后异常，修正后恶化，标记为异常分段,标记为异常分段,68,0.5074626865671642,2846.0,0.05053715706294948,2831.0,1164.0,1827.0,663.0,0.0,4114.609484,1521186.9938179997,1517072.3843339998,0.0,0.0,4904.1729780000005,1522050.7628150003,1517146.5898370002,0.0,0.0,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.06,情况1：修正前正常，修正后异常，保留（不修正）,保留（不修正）,12,0.08955223880597014,67.0,0.001189736304714552,67.0,1.0,61.0,60.0,0.0,0.57996,22513.920939,22513.340979,0.0,0.0,12.061612,22543.307742999998,22531.246130999996,0.0,0.0,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
JMZSFD,0.06,情况2：修正前异常，修正后正常，修正后保留,修正后保留,1,0.007462686567164179,49.0,0.000870105655686762,49.0,35.0,1.0,-34.0,34.0,9.696131,0.25492,-9.441211,9.441211,0.9737091010837209,31.491479,8.543402,-22.948077,22.948077,0.7287075021150959,134,56315.0,56275.0,34807.0,5541.0,37389.16138,1544738.5459479997,58306.55803199999,1552538.390811
