字段名,重复值,开始时间,结束时间,持续长度
ACTIVE_POWER_STATION,0.0,2023-09-25 12:01:00,2023-09-25 12:04:00,4
ACTIVE_POWER_STATION,0.0,2023-09-25 14:15:00,2023-09-25 14:19:00,5
ACTIVE_POWER_STATION,0.0,2023-09-25 14:25:00,2023-09-25 14:28:00,4
ACTIVE_POWER_STATION,0.0,2023-09-25 16:21:00,2023-09-25 16:24:00,4
ACTIVE_POWER_STATION,0.0,2023-09-25 20:15:00,2023-09-25 20:23:00,9
ACTIVE_POWER_STATION,0.0,2023-09-25 21:00:00,2023-09-25 21:04:00,5
ACTIVE_POWER_STATION,0.0,2023-09-25 23:49:00,2023-09-25 23:52:00,4
ACTIVE_POWER_STATION,0.0,2023-09-26 00:00:00,2023-09-26 00:03:00,4
ACTIVE_POWER_STATION,0.0,2023-09-26 00:05:00,2023-09-26 00:08:00,4
ACTIVE_POWER_STATION,0.0,2023-09-26 09:31:00,2023-09-26 09:37:00,7
ACTIVE_POWER_STATION,0.0,2023-09-26 11:48:00,2023-09-26 11:57:00,10
ACTIVE_POWER_STATION,0.0,2023-09-26 13:06:00,2023-09-26 13:10:00,5
ACTIVE_POWER_STATION,0.0,2023-09-26 13:22:00,2023-09-26 13:32:00,11
ACTIVE_POWER_STATION,0.0,2023-09-26 13:40:00,2023-09-26 13:44:00,5
ACTIVE_POWER_STATION,0.0,2023-09-26 19:35:00,2023-09-26 19:45:00,11
ACTIVE_POWER_STATION,0.0,2023-09-27 12:09:00,2023-09-27 12:14:00,6
ACTIVE_POWER_STATION,0.0,2023-09-27 13:01:00,2023-09-27 13:12:00,12
ACTIVE_POWER_STATION,0.0,2023-09-27 16:08:00,2023-09-27 16:12:00,5
ACTIVE_POWER_STATION,0.0,2023-09-27 16:48:00,2023-09-27 16:53:00,6
ACTIVE_POWER_STATION,0.0,2023-09-27 17:03:00,2023-09-27 17:06:00,4
ACTIVE_POWER_STATION,0.0,2023-09-27 18:03:00,2023-09-27 18:08:00,6
ACTIVE_POWER_STATION,0.0,2023-09-27 18:34:00,2023-09-27 18:40:00,7
ACTIVE_POWER_STATION,0.0,2023-09-27 21:10:00,2023-09-27 21:15:00,6
ACTIVE_POWER_STATION,0.0,2023-09-28 04:24:00,2023-09-28 04:30:00,7
ACTIVE_POWER_STATION,20.150639,2023-09-28 09:15:00,2023-09-28 09:19:00,5
ACTIVE_POWER_STATION,14.459442,2023-09-28 09:24:00,2023-09-28 09:27:00,4
ACTIVE_POWER_STATION,9.818231,2023-09-28 09:34:00,2023-09-28 09:37:00,4
ACTIVE_POWER_STATION,0.0,2023-09-28 10:29:00,2023-09-28 10:50:00,22
ACTIVE_POWER_STATION,0.0,2023-09-28 10:58:00,2023-09-28 11:01:00,4
ACTIVE_POWER_STATION,0.0,2023-09-28 12:38:00,2023-09-28 12:48:00,11
ACTIVE_POWER_STATION,0.0,2023-09-28 13:01:00,2023-09-28 13:14:00,14
ACTIVE_POWER_STATION,0.0,2023-09-28 15:06:00,2023-09-28 15:37:00,32
ACTIVE_POWER_STATION,0.0,2023-09-28 17:26:00,2023-09-28 17:41:00,16
ACTIVE_POWER_STATION,0.0,2023-09-28 17:57:00,2023-09-28 18:10:00,14
ACTIVE_POWER_STATION,0.0,2023-09-28 20:54:00,2023-09-28 21:04:00,11
ACTIVE_POWER_STATION,0.0,2023-09-28 21:53:00,2023-09-28 21:57:00,5
ACTIVE_POWER_STATION,0.0,2023-09-28 22:15:00,2023-09-28 22:18:00,4
ACTIVE_POWER_STATION,0.0,2023-09-28 23:32:00,2023-09-28 23:38:00,7
ACTIVE_POWER_STATION,0.0,2023-09-28 23:41:00,2023-09-28 23:44:00,4
ACTIVE_POWER_STATION,0.0,2023-09-29 01:54:00,2023-09-29 02:02:00,9
ACTIVE_POWER_STATION,0.0,2023-09-29 06:47:00,2023-09-29 06:50:00,4
ACTIVE_POWER_STATION,0.0,2023-09-29 07:31:00,2023-09-29 07:37:00,7
ACTIVE_POWER_STATION,0.0,2023-09-29 07:39:00,2023-09-29 07:46:00,8
ACTIVE_POWER_STATION,0.0,2023-09-29 07:54:00,2023-09-29 07:58:00,5
ACTIVE_POWER_STATION,0.0,2023-09-29 08:00:00,2023-09-29 08:08:00,9
ACTIVE_POWER_STATION,0.0,2023-09-29 08:19:00,2023-09-29 08:45:00,27
ACTIVE_POWER_STATION,0.0,2023-09-29 08:54:00,2023-09-29 09:03:00,10
ACTIVE_POWER_STATION,0.0,2023-09-29 09:08:00,2023-09-29 09:12:00,5
ACTIVE_POWER_STATION,0.0,2023-09-29 09:25:00,2023-09-29 09:30:00,6
ACTIVE_POWER_STATION,0.0,2023-09-29 10:06:00,2023-09-29 10:09:00,4
ACTIVE_POWER_STATION,0.0,2023-09-30 03:33:00,2023-09-30 03:36:00,4
ACTIVE_POWER_STATION,0.0,2023-09-30 04:32:00,2023-09-30 04:57:00,26
ACTIVE_POWER_STATION,0.0,2023-09-30 21:27:00,2023-09-30 21:31:00,5
ACTIVE_POWER_STATION,0.0,2023-09-30 21:35:00,2023-09-30 21:39:00,5
ACTIVE_POWER_STATION,0.0,2023-10-02 20:06:00,2023-10-02 20:30:00,25
ACTIVE_POWER_STATION,0.0,2023-10-02 20:39:00,2023-10-02 20:42:00,4
ACTIVE_POWER_STATION,0.0,2023-10-02 21:27:00,2023-10-02 21:31:00,5
ACTIVE_POWER_STATION,0.0,2023-10-02 21:38:00,2023-10-02 21:47:00,10
ACTIVE_POWER_STATION,0.0,2023-10-02 22:11:00,2023-10-02 22:14:00,4
ACTIVE_POWER_STATION,0.0,2023-10-03 00:14:00,2023-10-03 00:17:00,4
ACTIVE_POWER_STATION,0.0,2023-10-03 00:19:00,2023-10-03 00:24:00,6
ACTIVE_POWER_STATION,0.0,2023-10-03 00:35:00,2023-10-03 00:38:00,4
ACTIVE_POWER_STATION,0.0,2023-10-03 02:30:00,2023-10-03 02:35:00,6
ACTIVE_POWER_STATION,0.0,2023-10-03 02:37:00,2023-10-03 02:59:00,23
ACTIVE_POWER_STATION,0.0,2023-10-03 03:05:00,2023-10-03 03:12:00,8
ACTIVE_POWER_STATION,0.0,2023-10-03 03:41:00,2023-10-03 03:53:00,13
ACTIVE_POWER_STATION,0.0,2023-10-03 04:11:00,2023-10-03 04:18:00,8
ACTIVE_POWER_STATION,0.0,2023-10-03 11:47:00,2023-10-03 11:51:00,5
ACTIVE_POWER_STATION,0.0,2023-10-03 11:55:00,2023-10-03 11:58:00,4
ACTIVE_POWER_STATION,0.0,2023-10-03 16:20:00,2023-10-03 16:25:00,6
