风机编号,原始联合重复段数_仅用于统计,原始联合重复总持续长度_仅用于统计,仅正功率重复段数,仅正功率重复总持续长度,被剔除零负或无效功率重复段数,被剔除重复总持续长度,仅正功率重复段占比,仅正功率重复持续长度占比
20,68,49847,47,36108,21,13739,0.6911764705882353,0.7243765923726604
27,78,13550,55,12932,23,618,0.7051282051282052,0.9543911439114391
4,71,13689,47,12932,24,757,0.6619718309859155,0.9447001241873036
32,75,13920,50,12759,25,1161,0.6666666666666666,0.9165948275862069
13,65,13390,51,12655,14,735,0.7846153846153846,0.9451082897684839
36,69,13534,46,12587,23,947,0.6666666666666666,0.9300280774346091
31,89,15945,48,12583,41,3362,0.5393258426966292,0.7891502038256507
23,72,13427,49,12565,23,862,0.6805555555555556,0.9358009979891264
21,68,13491,43,12565,25,926,0.6323529411764706,0.9313616485064117
10,67,13069,47,12561,20,508,0.7014925373134329,0.9611293901599204
24,72,13792,51,12560,21,1232,0.7083333333333334,0.9106728538283063
2,76,13994,49,12551,27,1443,0.6447368421052632,0.8968843790195798
5,67,13148,45,12533,22,615,0.6716417910447762,0.9532248250684515
12,65,12746,48,12492,17,254,0.7384615384615385,0.9800721795072964
18,67,17949,49,4408,18,13541,0.7313432835820896,0.24558471224023623
33,81,15013,52,1651,29,13362,0.6419753086419753,0.10997135815626458
15,72,14363,50,1269,22,13094,0.6944444444444444,0.08835201559562765
11,69,13572,50,1197,19,12375,0.7246376811594203,0.08819628647214854
19,69,13426,44,814,25,12612,0.6376811594202898,0.060628631014449576
16,72,13094,47,697,25,12397,0.6527777777777778,0.0532304872460669
26,65,13271,48,693,17,12578,0.7384615384615385,0.052219124406600856
47,71,13215,42,682,29,12533,0.5915492957746479,0.05160802118804389
58,72,13459,40,667,32,12792,0.5555555555555556,0.049557916635708445
43,78,13233,39,667,39,12566,0.5,0.05040429229955414
45,64,13113,39,666,25,12447,0.609375,0.05078929306794784
46,69,14110,41,665,28,13445,0.5942028985507246,0.04712969525159461
55,67,12985,38,663,29,12322,0.5671641791044776,0.05105891413169041
39,77,14273,41,662,36,13611,0.5324675324675324,0.046381279338611366
40,78,14448,39,656,39,13792,0.5,0.04540420819490587
54,76,14980,38,654,38,14326,0.5,0.04365821094793058
44,72,14202,36,654,36,13548,0.5,0.04604985213350232
48,67,13035,38,650,29,12385,0.5671641791044776,0.04986574606827771
49,64,13408,38,650,26,12758,0.59375,0.04847852028639618
57,66,13735,37,644,29,13091,0.5606060606060606,0.046887513651255916
51,68,13869,36,642,32,13227,0.5294117647058824,0.04629028769197491
52,61,13153,35,638,26,12515,0.5737704918032787,0.048506044248460424
41,78,13997,36,630,42,13367,0.46153846153846156,0.04500964492391227
50,62,12934,36,630,26,12304,0.5806451612903226,0.04870882944178135
53,77,13880,33,630,44,13250,0.42857142857142855,0.045389048991354465
42,77,14930,33,609,44,14321,0.42857142857142855,0.04079035498995311
38,68,14066,48,562,20,13504,0.7058823529411765,0.03995450021328025
25,64,13295,47,551,17,12744,0.734375,0.04144415193681835
28,65,13220,48,547,17,12673,0.7384615384615385,0.0413767019667171
30,71,13733,47,546,24,13187,0.6619718309859155,0.03975824655938251
14,68,13239,47,544,21,12695,0.6911764705882353,0.0410907168215122
35,73,14742,45,540,28,14202,0.6164383561643836,0.03663003663003663
1,69,13953,46,536,23,13417,0.6666666666666666,0.03841467784705798
34,66,13603,45,533,21,13070,0.6818181818181818,0.039182533264721014
7,57,12619,44,526,13,12093,0.7719298245614035,0.041683176162928916
29,73,14133,42,520,31,13613,0.5753424657534246,0.0367933205971839
22,68,14039,43,516,25,13523,0.6323529411764706,0.036754754612151865
17,70,14207,43,514,27,13693,0.6142857142857143,0.03617934820862955
6,71,13982,43,482,28,13500,0.6056338028169014,0.034472893720497784
56,71,13959,38,462,33,13497,0.5352112676056338,0.03309692671394799
9,69,13100,43,428,26,12672,0.6231884057971014,0.03267175572519084
37,72,13007,42,428,30,12579,0.5833333333333334,0.032905358653032984
3,65,13264,40,412,25,12852,0.6153846153846154,0.031061519903498192
8,76,13039,41,408,35,12631,0.5394736842105263,0.03129074315514994
