region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
low,0.0,0.1,3537,0,3537,0.0,0.0,
low,0.1,0.2,2235,0,2235,0.0,0.0,
low,0.2,0.30000000000000004,1604,0,1604,0.0,0.0,
low,0.30000000000000004,0.4,1219,0,1219,0.0,0.0,
low,0.4,0.5,1156,0,1156,0.0,0.0,
low,0.5,0.6000000000000001,977,0,977,0.0,0.0,
low,0.6000000000000001,0.7000000000000001,853,0,853,0.0,0.0,
low,0.7000000000000001,0.8,715,0,715,0.0,0.0,
low,0.8,0.9,612,0,612,0.0,0.0,
low,0.9,1.0,590,0,590,0.0,0.0,
low,1.0,1.1,605,0,605,0.0,0.0,
low,1.1,1.2000000000000002,559,0,559,0.0,0.0,
low,1.2000000000000002,1.3,609,0,609,0.0,0.0,
low,1.3,1.4000000000000001,560,0,560,0.0,0.0,
low,1.4000000000000001,1.5,468,0,468,0.0,0.0,
low,1.5,1.6,494,0,494,0.0,0.0,
low,1.6,1.7000000000000002,454,0,454,0.0,0.0,
low,1.7000000000000002,1.8,413,0,413,0.0,0.0,
low,1.8,1.9000000000000001,410,0,410,0.0,0.0,
low,1.9000000000000001,2.0,357,0,357,0.0,0.0,
low,2.0,2.1,400,0,400,0.0,0.0,
low,2.1,2.2,372,0,372,0.0,0.0,
low,2.2,2.3000000000000003,354,0,354,0.0,0.0,
low,2.3000000000000003,2.4000000000000004,390,179,211,0.0004975369458128931,2.463054187273883e-06,1.8258620690261294e-05
low,2.4000000000000004,2.5,372,161,211,0.0004950495049507175,4.950495049449444e-06,3.6698019801568723e-05
low,2.5,2.6,342,2,340,0.00020792079207909708,0.00013613861386119197,0.001009195544553016
low,2.6,2.7,358,8,350,0.001960396039604184,0.00022524752475217014,0.0016697599009878371
low,2.7,2.8000000000000003,300,16,284,0.002487623762376323,0.00013520254309695723,0.0010022564519777438
low,2.8000000000000003,2.9000000000000004,361,25,336,0.002984771573604217,0.00020812182741147822,0.001542807106601288
low,2.9000000000000004,3.0,355,31,324,0.004897959183673528,0.0005102040816327147,0.0037821428571433134
low,3.0,3.1,304,46,258,0.006960047128431679,0.0012779323460687664,0.009473312481407764
low,3.1,3.2,328,81,247,0.01926981201774991,0.0034901879822499815,0.025872763512419114
low,3.2,3.3000000000000003,319,99,220,0.022239999999999593,0.00217500000000026,0.01612327500000193
low,3.3000000000000003,3.4000000000000004,332,93,239,0.029590000000000227,0.04063744009999959,0.30124534346129694
low,3.4000000000000004,3.5,353,0,353,0.023083636041667077,0.20423632114583246,1.5140038486540557
low,3.5,3.6,328,0,328,-0.025942493348652285,0.40675565554687476,3.0152796745689825
low,3.6,3.7,321,0,321,0.016853233663366662,0.43107504073267267,3.1955592769513026
low,3.7,3.8000000000000003,338,0,338,-0.007788361386138476,0.4252201544813994,3.152157005170613
low,3.8000000000000003,3.9000000000000004,323,0,323,-0.015605087113402138,0.33998384007106397,2.520300206446797
low,3.9000000000000004,4.0,311,0,311,0.014806778350516137,0.3188715536082469,2.3637948268979345
low,4.0,4.1000000000000005,315,0,315,-0.008864253015075985,0.3122410542713565,2.3146429353135654
low,4.1000000000000005,4.2,324,0,324,-0.0008309623971851643,0.2735398345077378,2.02775079320586
low,4.2,4.3,303,0,303,0.0066605169154234645,0.33872385522388093,2.510959938774629
low,4.3,4.4,327,0,327,-0.016239543434343418,0.28317390945027254,2.0991681907548703
low,4.4,4.5,261,0,261,0.0037797434343436187,0.33708522035741995,2.498812738509554
low,4.5,4.6000000000000005,301,0,301,0.00266818461538465,0.28793066538461476,2.134430022496149
low,4.6000000000000005,4.7,264,0,264,-0.004866125128865972,0.33695171404639157,2.4978230562259003
low,4.7,4.800000000000001,281,0,281,0.01847876237113466,0.3250919610738414,2.409906707440386
low,4.800000000000001,4.9,268,0,268,0.0009476269841270923,0.2756942722222222,2.043721639983333
low,4.9,5.0,259,0,259,-0.0026965571428574364,0.3723237196428566,2.760035733712496
low,5.0,5.1000000000000005,254,0,254,0.02215634848484882,0.3184259262626268,2.360491391384852
low,5.1000000000000005,5.2,236,1,235,-0.017581366196172565,0.2846770673684209,2.1103111004021042
low,5.2,5.300000000000001,249,0,249,0.014940228947367906,0.3105230641219392,2.3019074743359353
low,5.300000000000001,5.4,245,0,245,-0.015959909708737285,0.3089736671344796,2.290421794467897
low,5.4,5.5,234,0,234,0.015539761709927102,0.3380751577075489,2.50615114408606
low,5.5,5.6000000000000005,287,0,287,0.0003458510204081833,0.3290350007037297,2.4391364602167482
low,5.6000000000000005,5.7,292,0,292,-0.003410260344827609,0.3621707443349751,2.6847717277551704
low,5.7,5.800000000000001,271,0,271,0.004045196938775142,0.3266642989092179,2.4215624478140323
low,5.800000000000001,5.9,246,0,246,-0.015226646509907793,0.3797742963989943,2.8152668592057446
low,5.9,6.0,254,0,254,0.007343460869565277,0.3215550231884059,2.383687386895653
low,6.0,6.1000000000000005,244,0,244,-0.018416529792746772,0.3925690469999996,2.910114345410997
low,6.1000000000000005,6.2,257,0,257,-0.006596105999999935,0.34940284854545434,2.5901233162674533
low,6.2,6.300000000000001,224,0,224,0.005310525934098198,0.3041351480876726,2.254553852773917
low,6.300000000000001,6.4,237,0,237,-0.007900673786407797,0.36582711817893054,2.7118764270604117
low,6.4,6.5,234,0,234,0.01473812907608707,0.36525558130841107,2.707639624239251
low,6.5,6.6000000000000005,238,0,238,0.005263297836538783,0.3907927281250001,2.896946493590626
low,6.6000000000000005,6.7,272,0,272,-0.02391450106382975,0.3873050233173083,2.871092137851207
low,6.7,6.800000000000001,229,0,229,0.02528974579439236,0.34643416697156537,2.568116479760214
low,6.800000000000001,6.9,242,0,242,-0.009443209199766933,0.36735661682243004,2.7232146005046736
low,6.9,7.0,239,0,239,-0.025434381249999305,0.3794838999999999,2.813114150699999
low,7.0,7.1000000000000005,209,0,209,0.010366646464647022,0.3876242428036454,2.873458511903423
low,7.1000000000000005,7.2,218,0,218,0.005831806994818445,0.3824010320295723,2.8347388504352193
low,7.2,7.300000000000001,231,0,231,-0.010706054922279495,0.35848542620940727,2.6574524644903357
low,7.300000000000001,7.4,202,0,202,0.026383571250000237,0.39938162797029686,2.9606160081438104
low,7.4,7.5,191,0,191,-0.0223853669999996,0.4040613460000002,2.9953067578980015
low,7.5,7.6000000000000005,191,1,190,0.010508800000000207,0.36185354838709705,2.6824203541935505
low,7.6000000000000005,7.7,202,0,202,0.0047480105504593695,0.31740963027522917,2.352957589230274
low,7.7,7.800000000000001,186,0,186,-0.005308813432835624,0.3902338683109685,2.8928036657892093
low,7.800000000000001,7.9,190,0,190,0.0023458615043594477,0.3899022935643559,2.89034570219257
low,7.9,8.0,173,0,173,-0.002602010891088913,0.36268588118811884,2.688590437247525
low,8.0,8.1,191,0,191,0.0028826193717264026,0.3817237679698575,2.8297182919605532
low,8.1,8.200000000000001,190,0,190,-0.008825871052630552,0.3800605782998068,2.8173890669364674
low,8.200000000000001,8.3,197,0,197,0.010794098095238347,0.34311892761904605,2.5435406104399885
low,8.3,8.4,173,0,173,-0.015692627102803947,0.3621577880551845,2.684675682853083
low,8.4,8.5,211,0,211,0.02318919813084097,0.34608433271028094,2.5655231583813127
low,8.5,8.6,206,0,206,-0.010894330094910254,0.38307754350229484,2.8397538299825116
low,8.6,8.700000000000001,197,0,197,-0.006439202830188506,0.3761677716981122,2.7885316915981058
low,8.700000000000001,8.8,177,0,177,0.0076319765957442165,0.3839392403853883,2.846141588976883
low,8.8,8.9,189,0,189,0.0038340886792465056,0.3999330376154169,2.964703607843085
low,8.9,9.0,172,0,172,0.008325050000000722,0.3998892588679237,2.9643790759879183
low,9.0,9.1,189,0,189,-0.02726902499999806,0.3976672092995197,2.9479070225373394
low,9.1,9.200000000000001,188,0,188,0.019940254192845952,0.46062005462427735,3.414576464929768
low,9.200000000000001,9.3,191,0,191,-0.01209302716762961,0.38132606069364394,2.8267700879219824
low,9.3,9.4,195,0,195,-0.005242032352941184,0.36381127466063345,2.6969329790592758
low,9.4,9.5,199,0,199,0.0012481029411763878,0.3663902804921966,2.7160511492886528
low,9.5,9.600000000000001,192,1,191,0.004225858974358898,0.3554975287179485,2.635303180386152
low,9.600000000000001,9.700000000000001,182,0,182,-0.011521494885968542,0.40892938734828044,3.0313935484128027
low,9.700000000000001,9.8,173,0,173,0.02899080703517587,0.42746109005404254,3.168769060570617
