region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
low,0.0,0.1,99,0,99,0.0012093228840690529,0.2419170588770534,1.7933311574555966
low,0.1,0.2,81,0,81,-0.011259586851022796,0.23152176777785805,1.7162708645372615
low,0.2,0.30000000000000004,242,0,242,0.0138013230591294,0.2699315167550915,2.001002333705493
low,0.30000000000000004,0.4,75,0,75,-0.002150338192516532,0.2914994368340098,2.1608853252505145
low,0.4,0.5,283,0,283,-0.0045482856044456454,0.25221742944667813,1.8696878044882248
low,0.5,0.6000000000000001,179,0,179,0.011486149529432943,0.26601304939781967,1.971954735186037
low,0.6000000000000001,0.7000000000000001,119,0,119,-0.025187069509013504,0.2430926138158802,1.8020455462171197
low,0.7000000000000001,0.8,277,0,277,-0.004887338126904783,0.25520155338982775,1.891809115278793
low,0.8,0.9,342,0,342,0.004305167775062735,0.28747984481112265,2.131088089584852
low,0.9,1.0,323,1,322,-0.0004931854992058504,0.2562385135807239,1.8994961011739062
low,1.0,1.1,314,0,314,-0.00012680172549406343,0.2648899820073194,1.9636294366202587
low,1.1,1.2000000000000002,288,0,288,-0.0016712028007312973,0.32325312767174674,2.3962754354306584
low,1.2000000000000002,1.3,278,0,278,0.019860845635237823,0.32635431304455453,2.4192645225992826
low,1.3,1.4000000000000001,305,0,305,-0.017316340409643693,0.3045242684433789,2.2574384019707674
low,1.4000000000000001,1.5,281,1,280,0.0059662406924885225,0.2317033420221235,1.7176168744100015
low,1.5,1.6,240,0,240,0.0015013879676528674,0.30727346075893314,2.277818164605971
low,1.6,1.7000000000000002,226,0,226,-0.0025227590946108602,0.2664346119430101,1.9750797783335339
low,1.7000000000000002,1.8,216,0,216,0.005953192552086595,0.27030224597053976,2.0037505493796113
low,1.8,1.9000000000000001,220,0,220,0.009070925543544384,0.2814232815923394,2.0861907864440123
low,1.9000000000000001,2.0,217,0,217,-0.02156980576160894,0.2857678592610271,2.118397140701994
low,2.0,2.1,235,0,235,0.021342314320254907,0.3327475438067604,2.4666575422395147
low,2.1,2.2,216,0,216,-0.01829143272199718,0.3205068314542212,2.3759171415701417
low,2.2,2.3000000000000003,214,0,214,-0.0002934043156128663,0.2845751553395748,2.1095556265322677
low,2.3000000000000003,2.4000000000000004,216,0,216,-0.023495317141541294,0.29309053759774595,2.1726801552120905
low,2.4000000000000004,2.5,234,0,234,0.022773745107675936,0.2544479254207368,1.8862224711439217
low,2.5,2.6,217,1,216,-0.010041407874016528,0.27010074537735473,2.0022568254823305
