region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
low,low_lookup,9.4,0.0,0.1,0.053965986,0.4027154399128297,99,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.1,0.2,0.15105784,0.45413508627672644,81,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.2,0.30000000000000004,0.225665925,0.44174729916778,242,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.30000000000000004,0.4,0.34478295,0.4094831769081954,75,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.4,0.5,0.4624077,0.4142003404665987,283,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.5,0.6000000000000001,0.5337152,0.4162384503935151,179,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.6000000000000001,0.7000000000000001,0.6638776,0.3881715107860674,119,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.7000000000000001,0.8,0.75519264,0.4612807879092308,277,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.8,0.9,0.8473843649999999,0.44435731517209065,342,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,0.9,1.0,0.95006225,0.42393513250277176,322,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.0,1.1,1.0465264,0.42664615506289766,314,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.1,1.2000000000000002,1.1457559499999999,0.4799348047355685,288,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.2000000000000002,1.3,1.2519528000000002,0.4771775416350762,278,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.3,1.4000000000000001,1.3464403,0.4686752655875599,305,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.4000000000000001,1.5,1.4511161000000001,0.40618203241601913,280,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.5,1.6,1.5543763,0.4654706025202157,240,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.6,1.7000000000000002,1.65203555,0.40325404738635967,226,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.7000000000000002,1.8,1.7490435500000001,0.4321815057940952,216,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.8,1.9000000000000001,1.8523839500000001,0.45283515481059594,220,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,1.9000000000000001,2.0,1.9513754,0.4656974261085347,217,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.0,2.1,2.0481963,0.4789059600603239,235,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.1,2.2,2.1511525,0.5150693550714263,216,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.2,2.3000000000000003,2.2505648,0.4543513935528995,214,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.3000000000000003,2.4000000000000004,2.3501139,0.4500638074365141,216,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.4000000000000004,2.5,2.4500985,0.4680232494519102,234,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.5,2.6,2.5547194500000003,0.45739177309618245,216,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.6,2.7,2.6523396000000004,0.4173241098622379,232,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
low,low_lookup,9.4,2.7,2.8000000000000003,2.7517296499999997,0.4209498181417186,192,1,0.1,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
