开始时间,结束时间,hard_anomaly_source,字段名,重复值,持续长度
2023-09-28 09:15:00,2023-09-28 09:19:00,fan_joint_repeat,,,
2023-09-28 09:24:00,2023-09-28 09:27:00,fan_joint_repeat,,,
2023-09-28 09:34:00,2023-09-28 09:37:00,fan_joint_repeat,,,
2023-10-21 14:35:00,2023-10-21 14:38:00,fan_joint_repeat,,,
2023-12-20 15:04:00,2023-12-20 15:07:00,fan_joint_repeat,,,
2024-02-26 10:01:00,2024-02-26 10:04:00,fan_joint_repeat,,,
2024-02-26 10:13:00,2024-02-26 10:16:00,fan_joint_repeat,,,
2024-02-28 10:54:00,2024-02-28 10:57:00,fan_joint_repeat,,,
2024-03-04 10:39:00,2024-03-04 10:42:00,fan_joint_repeat,,,
2024-04-14 14:50:00,2024-04-14 15:15:00,fan_joint_repeat,,,
2024-04-14 15:37:00,2024-04-14 15:40:00,fan_joint_repeat,,,
2024-04-26 11:34:00,2024-04-26 11:38:00,fan_joint_repeat,,,
2024-05-06 16:46:00,2024-05-06 16:50:00,fan_joint_repeat,,,
2024-07-01 11:24:00,2024-07-01 12:43:00,fan_joint_repeat,,,
2024-07-01 16:22:00,2024-07-01 16:28:00,fan_joint_repeat,,,
2024-07-02 17:05:00,2024-07-02 17:08:00,fan_joint_repeat,,,
2024-07-02 17:46:00,2024-07-02 17:51:00,fan_joint_repeat,,,
2024-07-05 11:14:00,2024-07-05 11:17:00,fan_joint_repeat,,,
2024-07-05 16:49:00,2024-07-05 16:55:00,fan_joint_repeat,,,
2024-07-05 18:54:00,2024-07-05 18:57:00,fan_joint_repeat,,,
2024-07-12 11:18:00,2024-07-12 11:24:00,fan_joint_repeat,,,
2024-07-25 10:43:00,2024-07-25 11:18:00,fan_joint_repeat,,,
2024-07-25 13:18:00,2024-07-25 13:25:00,fan_joint_repeat,,,
2024-07-25 13:26:00,2024-07-25 13:50:00,fan_joint_repeat,,,
2024-07-25 15:08:00,2024-07-25 15:38:00,fan_joint_repeat,,,
2024-07-25 17:43:00,2024-07-25 17:47:00,fan_joint_repeat,,,
2024-01-05 15:33:00,2024-01-05 15:36:00,fan_joint_repeat,,,
2024-06-26 11:25:00,2024-06-26 11:32:00,fan_joint_repeat,,,
2024-07-01 13:08:00,2024-07-01 13:12:00,fan_joint_repeat,,,
2024-07-01 13:13:00,2024-07-01 13:16:00,fan_joint_repeat,,,
2024-07-11 15:10:00,2024-07-11 15:13:00,fan_joint_repeat,,,
2024-04-23 10:06:00,2024-04-23 10:12:00,fan_joint_repeat,,,
2023-11-21 11:17:00,2023-11-21 12:12:00,fan_joint_repeat,,,
2023-11-21 11:16:00,2023-11-21 12:12:00,fan_joint_repeat,,,
2023-11-21 11:17:00,2023-11-21 12:11:00,fan_joint_repeat,,,
2023-09-28 09:23:00,2023-09-28 09:27:00,fan_joint_repeat,,,
2024-07-25 13:22:00,2024-07-25 13:25:00,fan_joint_repeat,,,
2023-10-21 12:00:00,2023-10-21 12:03:00,fan_joint_repeat,,,
2023-12-18 11:59:00,2023-12-18 12:02:00,fan_joint_repeat,,,
2024-01-06 17:01:00,2024-01-06 17:04:00,fan_joint_repeat,,,
2023-10-22 12:48:00,2023-10-22 13:52:00,fan_joint_repeat,,,
2023-10-22 16:00:00,2023-10-22 17:10:00,fan_joint_repeat,,,
2023-10-23 17:11:00,2023-10-23 19:03:00,fan_joint_repeat,,,
2023-10-23 20:26:00,2023-10-23 20:32:00,fan_joint_repeat,,,
2023-10-23 20:51:00,2023-10-23 21:01:00,fan_joint_repeat,,,
2023-11-20 12:02:00,2023-11-20 15:06:00,fan_joint_repeat,,,
2024-07-11 13:25:00,2024-07-11 13:28:00,fan_joint_repeat,,,
2024-07-01 10:57:00,2024-07-03 18:30:00,fan_joint_repeat,,,
2023-10-20 07:11:00,2023-11-04 07:15:00,fan_joint_repeat,,,
2024-05-07 15:25:00,2024-05-07 15:28:00,fan_joint_repeat,,,
2024-07-11 01:25:00,2024-07-11 01:28:00,fan_joint_repeat,,,
2024-03-23 15:22:00,2024-03-23 15:25:00,fan_joint_repeat,,,
2023-11-08 11:57:00,2023-11-08 12:02:00,fan_joint_repeat,,,
2023-10-30 11:58:00,2023-10-30 12:03:00,fan_joint_repeat,,,
2024-07-01 11:24:00,2024-07-01 12:44:00,fan_joint_repeat,,,
2024-01-06 01:42:00,2024-01-06 08:32:00,fan_joint_repeat,,,
2024-02-07 14:37:00,2024-02-20 07:51:00,fan_joint_repeat,,,
2024-03-08 08:27:00,2024-03-08 08:30:00,fan_joint_repeat,,,
2024-06-09 06:04:00,2024-06-09 13:17:00,fan_joint_repeat,,,
2024-06-12 17:20:00,2024-06-12 18:43:00,fan_joint_repeat,,,
2024-07-06 04:42:00,2024-07-07 10:47:00,fan_joint_repeat,,,
2024-07-07 10:48:00,2024-07-07 11:20:00,fan_joint_repeat,,,
2023-09-28 09:15:00,2023-09-28 09:19:00,station_active_power_repeat,ACTIVE_POWER_STATION,65.118004,5.0
2023-09-28 09:23:00,2023-09-28 09:27:00,station_active_power_repeat,ACTIVE_POWER_STATION,83.19162,5.0
2023-09-28 09:34:00,2023-09-28 09:37:00,station_active_power_repeat,ACTIVE_POWER_STATION,101.3764,4.0
2023-10-05 06:24:00,2023-10-05 06:28:00,station_active_power_repeat,ACTIVE_POWER_STATION,366.3706,5.0
2023-10-20 02:09:00,2023-10-20 02:13:00,station_active_power_repeat,ACTIVE_POWER_STATION,378.64648,5.0
2023-10-21 14:35:00,2023-10-21 14:38:00,station_active_power_repeat,ACTIVE_POWER_STATION,24.47103,4.0
2023-11-05 12:01:00,2023-11-05 12:06:00,station_active_power_repeat,ACTIVE_POWER_STATION,362.77493,6.0
2023-11-05 12:07:00,2023-11-05 12:12:00,station_active_power_repeat,ACTIVE_POWER_STATION,362.66733,6.0
2023-11-05 12:31:00,2023-11-05 12:34:00,station_active_power_repeat,ACTIVE_POWER_STATION,360.2667,4.0
2023-11-05 12:44:00,2023-11-05 12:47:00,station_active_power_repeat,ACTIVE_POWER_STATION,364.22678,4.0
2023-11-05 13:32:00,2023-11-05 13:36:00,station_active_power_repeat,ACTIVE_POWER_STATION,363.96503,5.0
2023-11-05 13:49:00,2023-11-05 13:53:00,station_active_power_repeat,ACTIVE_POWER_STATION,363.96124,5.0
2023-11-06 20:38:00,2023-11-06 20:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,365.36945,4.0
2023-11-10 13:51:00,2023-11-10 13:54:00,station_active_power_repeat,ACTIVE_POWER_STATION,371.74255,4.0
2023-11-10 14:33:00,2023-11-10 14:36:00,station_active_power_repeat,ACTIVE_POWER_STATION,377.77155,4.0
2023-11-10 18:26:00,2023-11-10 18:29:00,station_active_power_repeat,ACTIVE_POWER_STATION,374.06412,4.0
2023-11-10 18:45:00,2023-11-10 18:48:00,station_active_power_repeat,ACTIVE_POWER_STATION,377.85773,4.0
