开始时间,结束时间,持续分钟数,硬异常来源,硬异常来源说明
2023-09-25 10:19:00,2023-09-25 10:19:00,1,物理超额定,风机功率之和或 ACTIVE_POWER_STATION 超过额定功率上限；明细保留但汇总剔除
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
2023-09-28 09:15:00,2023-09-28 09:19:00,5,风机联合连续重复,风机联合连续重复；用于计算重复风机功率扣减量，是否并入最终异常由参数控制
