分段ID,开始时间,结束时间,持续时长min,冻结风机数,重复风机功率之和MW,风机编号,状态码,冻结有功kW,非负冻结有功kW,冻结风速ms,重复值组合,原始开始时间,原始结束时间,原始持续长度min,原异常分钟数,修正后异常分钟数,异常分钟数变化量,原异常占比,修正后异常占比,异常占比变化量,原异常程度总和,修正后异常程度总和,异常程度变化量,异常程度下降率,原偏离程度总和,修正后偏离程度总和,偏离程度变化量,偏离程度下降率
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,1,8.0,1304.0,1304.0,7.89,"(8.0, 1304.0, 38.0, 7.89, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,2,8.0,1276.0,1276.0,7.14,"(8.0, 1276.0, -41.0, 7.14, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,3,8.0,1509.0,1509.0,6.55,"(8.0, 1509.0, -61.0, 6.55, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,4,8.0,1760.0,1760.0,7.41,"(8.0, 1760.0, -13.0, 7.41, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,5,8.0,1331.0,1331.0,6.81,"(8.0, 1331.0, -14.0, 6.81, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,6,8.0,1114.0,1114.0,6.86,"(8.0, 1114.0, 15.0, 6.86, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,7,11.0,1105.0,1105.0,6.55,"(11.0, 1105.0, -12.0, 6.55, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,8,8.0,1225.0,1225.0,7.08,"(8.0, 1225.0, -45.0, 7.08, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,9,8.0,1498.0,1498.0,6.67,"(8.0, 1498.0, -31.0, 6.67, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
2,2023-09-28 09:15:00,2023-09-28 09:19:00,5,89,65.433,10,11.0,1250.0,1250.0,6.98,"(11.0, 1250.0, 2.0, 6.98, 0.0)",2023-09-28 09:15:00,2023-09-28 09:19:00,5,5,5,0,1.0,1.0,0.0,0.0,6511.8004,6511.8004,,1.69703,6511.8004,6510.10337,-3836.174093
