推荐排序,场站,阈值,推荐参考分数,异常分段占比,修正后保留分段占比,保留不修正分段占比,正常分段占比,总分段数,最终有效异常程度改善量,最终有效异常分钟数改善量,最终有效偏离程度改善量,重复正功率>0分段有效异常程度改善量,重复正功率>0分段有效异常分钟数改善量,重复正功率>0分段有效偏离程度改善量,推荐说明
1,LGXRFD,0.5,0.30052566770842515,0.3247863247863248,0.1282051282051282,0.18803418803418803,0.358974358974359,117.0,8890.921784,6619.0,20059.861402,8890.921784,6619.0,20059.861402,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
2,LGXRFD,0.4,0.29197865916141663,0.3333333333333333,0.1282051282051282,0.1794871794871795,0.358974358974359,117.0,8890.921784,6619.0,20059.861402,8890.921784,6619.0,20059.861402,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
3,LGXRFD,0.29,0.24217999963777848,0.358974358974359,0.11965811965811966,0.17094017094017094,0.3504273504273504,117.0,7153.509478,5659.0,17882.548521,7153.509478,5659.0,17882.548520999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
4,LGXRFD,0.3,0.24217999963777848,0.358974358974359,0.11965811965811966,0.17094017094017094,0.3504273504273504,117.0,7153.509478,5659.0,17882.548521,7153.509478,5659.0,17882.548520999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
5,LGXRFD,0.28,0.2336329910907699,0.36752136752136755,0.11965811965811966,0.17094017094017094,0.3418803418803419,117.0,7153.509478,5659.0,17882.548521,7153.509478,5659.0,17882.548520999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
6,LGXRFD,0.27,0.19930838452159386,0.38461538461538464,0.1111111111111111,0.1623931623931624,0.3418803418803419,117.0,7127.580819000001,5634.0,17847.368189,7127.580819000001,5634.0,17847.368188999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
7,LGXRFD,0.26,0.17347558565863713,0.39316239316239315,0.10256410256410256,0.1623931623931624,0.3418803418803419,117.0,7078.8134709999995,5620.0,17794.605529,7078.8134709999995,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
8,LGXRFD,0.25,0.15638156856462004,0.41025641025641024,0.10256410256410256,0.1452991452991453,0.3418803418803419,117.0,7078.8134709999995,5620.0,17794.605529,7078.8134709999995,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
9,LGXRFD,0.22,0.14783456001761147,0.4188034188034188,0.10256410256410256,0.13675213675213677,0.3418803418803419,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
10,LGXRFD,0.23,0.14783456001761147,0.4188034188034188,0.10256410256410256,0.13675213675213677,0.3418803418803419,117.0,7078.8134709999995,5620.0,17794.605529,7078.8134709999995,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
11,LGXRFD,0.24,0.14783456001761147,0.4188034188034188,0.10256410256410256,0.13675213675213677,0.3418803418803419,117.0,7078.8134709999995,5620.0,17794.605529,7078.8134709999995,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
12,LGXRFD,0.18,0.13928755147060295,0.42735042735042733,0.10256410256410256,0.13675213675213677,0.3333333333333333,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
