场站,阈值,分段类别,最终处理方式,最终处理细分类型,分段数,分段占比,覆盖分钟数,覆盖分钟占比,纳入统计分钟数,纳入统计分钟占比,原异常分钟数,修正后异常分钟数,异常分钟数净变化量（修正后-原）,有效异常分钟数改善量,原异常程度总和,修正后异常程度总和,异常程度净变化量（修正后-原）,有效异常程度改善量,有效异常程度改善率,原偏离程度总和,修正后偏离程度总和,偏离程度净变化量（修正后-原）,有效偏离程度改善量,有效偏离程度改善率,总分段数,总覆盖分钟数,总纳入统计分钟数,总原异常分钟数,总修正后异常分钟数,总原异常程度,总修正后异常程度,总原偏离程度,总修正后偏离程度
LGXRFD,0.05,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,11,0.09401709401709402,335.0,0.0007445933631170679,334.0,0.0007529594236027981,10.0,86.0,76.0,0.0,0.784189,91.39134,90.607151,0.0,0.0,60.23945899999999,161.705129,101.46567000000002,0.0,0.0,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.05,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,5,0.042735042735042736,8401.0,0.018672623413571603,8400.0,0.0189367040666572,392.0,29.0,-363.0,363.0,464.958998,20.556839,-444.402159,444.402159,0.9557878456198841,3929.259188,76.211309,-3853.047879,3853.0478789999997,0.980604153263101,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.05,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,59,0.5042735042735043,37786.0,0.0839856860260941,37741.0,0.08508216049758445,10941.0,6547.0,-4394.0,0.0,11014.10484,1128794.322358,1117780.2175180002,0.0,0.0,24359.034230000005,1134760.1718779998,1110401.1376479997,0.0,0.0,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.05,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.05,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.05,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,12,0.10256410256410256,16937.0,0.037645306839145604,10916.0,0.02460869780852738,371.0,371.0,0.0,0.0,82.069623,82.069623,0.0,0.0,0.0,1457.99361,1457.99361,0.0,0.0,0.0,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.05,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,30,0.2564102564102564,386451.0,0.8589517903580716,386192.0,0.8706194782036282,33792.0,33792.0,0.0,0.0,8846.452192999997,8846.452192999997,0.0,0.0,0.0,75912.587817,75912.587817,0.0,0.0,0.0,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.06,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,11,0.09401709401709402,335.0,0.0007445933631170679,334.0,0.0007529594236027981,10.0,86.0,76.0,0.0,0.784189,91.39134,90.607151,0.0,0.0,60.23945899999999,161.705129,101.46567000000002,0.0,0.0,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.06,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,7,0.05982905982905983,18122.0,0.04027916694450001,18120.0,0.040849175915217674,1947.0,590.0,-1357.0,1357.0,2544.4367939999997,145.0566,-2399.380194,2399.380194,0.9429906844838686,10164.294682,690.4808449999998,-9473.813837,9473.813837,0.9320680020992724,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
LGXRFD,0.06,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,57,0.48717948717948717,28065.0,0.0623791424951657,28021.0,0.06316968864902398,9386.0,5986.0,-3400.0,0.0,8934.627044,1128669.8225969998,1119735.1955529999,0.0,0.0,18123.998736,1134145.9023419998,1116021.903606,0.0,0.0,117,449910.0,443583.0,45506.0,40825.0,20408.369843,1137834.792353,105719.114304,1212368.669743
