场站,阈值,分段类别,分段数,异常分段数,异常分段占比,覆盖分钟数,纳入统计分钟数,原异常分钟数,原异常分钟占纳入统计分钟比例,原异常程度总和,原平均异常程度_按异常分钟,原最大异常程度,原偏离程度总和,原平均偏离程度_按纳入统计分钟,原最大偏离程度
LGXRFD,0.05,重复正功率>0分段,75,62,0.8266666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.05,重复正功率=0，且冻结风机数=0,42,30,0.7142857142857143,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.05,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.06,重复正功率>0分段,75,62,0.8266666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.06,重复正功率=0，且冻结风机数=0,42,27,0.6428571428571429,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.06,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.07,重复正功率>0分段,75,62,0.8266666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.07,重复正功率=0，且冻结风机数=0,42,26,0.6190476190476191,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.07,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.08,重复正功率>0分段,75,62,0.8266666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
