场站,阈值,修正作用情况,对应最终处理方式,分段数,分段占比,覆盖分钟数,覆盖分钟占比,纳入统计分钟数,原异常分钟数,修正后异常分钟数,异常分钟数净变化量（修正后-原）,有效异常分钟数改善量,原异常程度总和,修正后异常程度总和,异常程度净变化量（修正后-原）,有效异常程度改善量,有效异常程度改善率,原偏离程度总和,修正后偏离程度总和,偏离程度净变化量（修正后-原）,有效偏离程度改善量,有效偏离程度改善率,重复正功率>0总分段数,重复正功率>0总覆盖分钟数,重复正功率>0总纳入统计分钟数,重复正功率>0总原异常分钟数,重复正功率>0总修正后异常分钟数,重复正功率>0总原异常程度,重复正功率>0总修正后异常程度,重复正功率>0总原偏离程度,重复正功率>0总修正后偏离程度
LGXRFD,0.05,情况1：修正前正常，修正后异常，保留（不修正）,保留（不修正）,7,0.09333333333333334,312.0,0.006706504449507759,312.0,10.0,86.0,76.0,0.0,0.784189,91.39134000000001,90.60715100000002,0.0,0.0,60.239459,161.705129,101.46567,0.0,0.0,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.05,情况2：修正前异常，修正后正常，修正后保留,修正后保留,3,0.04,1483.0,0.031877391341730794,1482.0,392.0,29.0,-363.0,363.0,464.958998,20.556839,-444.402159,444.402159,0.9557878456198841,1133.7310260000002,76.211309,-1057.5197170000001,1057.519717,0.932778315797807,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.05,情况3：修正前正常，修正后正常，修正后改善，修正后保留,修正后保留,2,0.02666666666666667,6918.0,0.1487038390438932,6918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2795.5281619999996,0.0,-2795.5281619999996,2795.5281619999996,1.0,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.05,情况4：修正前正常，修正后正常，修正后不变，保留（不修正）,保留（不修正）,4,0.05333333333333334,23.0,0.0004943897510855079,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.05,情况5：修正前正常，修正后正常，修正后恶化，保留（不修正）,保留（不修正）,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.05,情况6：修正前异常，修正后异常，修正后改善，标记为异常分段,标记为异常分段,13,0.17333333333333334,34511.0,0.7418210739005202,34483.0,10029.0,3920.0,-6109.0,0.0,10592.270657000001,1758.587072,-8833.683585,0.0,0.0,23022.63283,6392.840826999999,-16629.792003,0.0,0.0,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.05,情况7：修正前异常，修正后异常，修正后不变，标记为异常分段,标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.05,情况8：修正前异常，修正后异常，修正后恶化，标记为异常分段,标记为异常分段,46,0.6133333333333333,3275.0,0.07039680151326254,3258.0,912.0,2627.0,1715.0,0.0,421.834183,1127035.7352859997,1126613.9011029997,0.0,0.0,1336.4014000000002,1128367.331051,1127030.9296509998,0.0,0.0,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.06,情况1：修正前正常，修正后异常，保留（不修正）,保留（不修正）,7,0.09333333333333334,312.0,0.006706504449507759,312.0,10.0,86.0,76.0,0.0,0.784189,91.39134000000001,90.60715100000002,0.0,0.0,60.239459,161.705129,101.46567,0.0,0.0,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
LGXRFD,0.06,情况2：修正前异常，修正后正常，修正后保留,修正后保留,5,0.06666666666666667,11204.0,0.24083229439834916,11202.0,1947.0,590.0,-1357.0,1357.0,2544.4367939999997,145.0566,-2399.380194,2399.380194,0.9429906844838686,7368.76652,690.4808449999998,-6678.285675,6678.285675,0.9062962786070198,75,46522.0,46475.0,11343.0,6662.0,11479.848027,1128906.2705370001,28348.532877,1134998.088316
