字段名,重复值,开始时间,结束时间,持续长度
ACTIVE_POWER_STATION,0.0,2023-09-25 09:43:00,2023-09-25 09:46:00,4
ACTIVE_POWER_STATION,0.0,2023-09-25 09:51:00,2023-09-25 09:56:00,6
ACTIVE_POWER_STATION,0.0,2023-09-25 11:36:00,2023-09-25 11:40:00,5
ACTIVE_POWER_STATION,0.0,2023-09-25 12:35:00,2023-09-25 12:38:00,4
ACTIVE_POWER_STATION,0.0,2023-09-25 15:46:00,2023-09-25 15:49:00,4
ACTIVE_POWER_STATION,0.0,2023-09-26 08:06:00,2023-09-26 08:09:00,4
ACTIVE_POWER_STATION,0.0,2023-09-26 08:21:00,2023-09-26 08:25:00,5
ACTIVE_POWER_STATION,0.0,2023-09-26 08:28:00,2023-09-26 08:39:00,12
ACTIVE_POWER_STATION,0.0,2023-09-26 08:41:00,2023-09-26 08:47:00,7
ACTIVE_POWER_STATION,0.0,2023-09-26 09:13:00,2023-09-26 09:16:00,4
ACTIVE_POWER_STATION,65.118004,2023-09-28 09:15:00,2023-09-28 09:19:00,5
ACTIVE_POWER_STATION,83.19162,2023-09-28 09:23:00,2023-09-28 09:27:00,5
ACTIVE_POWER_STATION,101.3764,2023-09-28 09:34:00,2023-09-28 09:37:00,4
ACTIVE_POWER_STATION,0.0,2023-09-30 06:33:00,2023-09-30 06:37:00,5
ACTIVE_POWER_STATION,0.0,2023-10-03 00:56:00,2023-10-03 01:04:00,9
ACTIVE_POWER_STATION,366.3706,2023-10-05 06:24:00,2023-10-05 06:28:00,5
ACTIVE_POWER_STATION,0.0,2023-10-10 10:11:00,2023-10-10 10:14:00,4
ACTIVE_POWER_STATION,0.0,2023-10-13 03:13:00,2023-10-13 03:16:00,4
ACTIVE_POWER_STATION,0.0,2023-10-16 03:42:00,2023-10-16 03:46:00,5
ACTIVE_POWER_STATION,0.0,2023-10-17 18:29:00,2023-10-17 18:33:00,5
ACTIVE_POWER_STATION,0.0,2023-10-17 20:32:00,2023-10-17 20:51:00,20
ACTIVE_POWER_STATION,0.0,2023-10-17 22:22:00,2023-10-17 22:25:00,4
ACTIVE_POWER_STATION,0.0,2023-10-18 05:37:00,2023-10-18 05:40:00,4
ACTIVE_POWER_STATION,0.0,2023-10-18 05:44:00,2023-10-18 05:49:00,6
ACTIVE_POWER_STATION,0.0,2023-10-18 05:56:00,2023-10-18 06:14:00,19
ACTIVE_POWER_STATION,378.64648,2023-10-20 02:09:00,2023-10-20 02:13:00,5
ACTIVE_POWER_STATION,24.47103,2023-10-21 14:35:00,2023-10-21 14:38:00,4
ACTIVE_POWER_STATION,0.0,2023-10-21 16:02:00,2023-10-21 16:05:00,4
ACTIVE_POWER_STATION,0.0,2023-10-22 11:03:00,2023-10-22 11:08:00,6
ACTIVE_POWER_STATION,0.0,2023-10-23 05:15:00,2023-10-23 05:18:00,4
ACTIVE_POWER_STATION,0.0,2023-10-24 13:44:00,2023-10-24 14:11:00,28
ACTIVE_POWER_STATION,0.0,2023-10-24 14:32:00,2023-10-24 14:36:00,5
ACTIVE_POWER_STATION,0.0,2023-10-26 05:14:00,2023-11-04 07:06:00,13072
ACTIVE_POWER_STATION,362.77493,2023-11-05 12:01:00,2023-11-05 12:06:00,6
ACTIVE_POWER_STATION,362.66733,2023-11-05 12:07:00,2023-11-05 12:12:00,6
ACTIVE_POWER_STATION,360.2667,2023-11-05 12:31:00,2023-11-05 12:34:00,4
ACTIVE_POWER_STATION,364.22678,2023-11-05 12:44:00,2023-11-05 12:47:00,4
ACTIVE_POWER_STATION,363.96503,2023-11-05 13:32:00,2023-11-05 13:36:00,5
ACTIVE_POWER_STATION,363.96124,2023-11-05 13:49:00,2023-11-05 13:53:00,5
ACTIVE_POWER_STATION,365.36945,2023-11-06 20:38:00,2023-11-06 20:41:00,4
ACTIVE_POWER_STATION,371.74255,2023-11-10 13:51:00,2023-11-10 13:54:00,4
ACTIVE_POWER_STATION,377.77155,2023-11-10 14:33:00,2023-11-10 14:36:00,4
ACTIVE_POWER_STATION,374.06412,2023-11-10 18:26:00,2023-11-10 18:29:00,4
ACTIVE_POWER_STATION,377.85773,2023-11-10 18:45:00,2023-11-10 18:48:00,4
ACTIVE_POWER_STATION,372.66315,2023-11-12 14:38:00,2023-11-12 14:41:00,4
ACTIVE_POWER_STATION,0.0,2023-11-15 04:52:00,2023-11-15 04:55:00,4
ACTIVE_POWER_STATION,0.0,2023-11-16 00:40:00,2023-11-16 00:43:00,4
ACTIVE_POWER_STATION,383.09515,2023-11-16 06:11:00,2023-11-16 06:15:00,5
ACTIVE_POWER_STATION,382.8661,2023-11-16 06:16:00,2023-11-16 06:19:00,4
ACTIVE_POWER_STATION,388.44196,2023-11-16 11:22:00,2023-11-16 11:27:00,6
ACTIVE_POWER_STATION,388.12775,2023-11-16 13:12:00,2023-11-16 13:15:00,4
ACTIVE_POWER_STATION,387.72952,2023-11-16 18:40:00,2023-11-16 18:44:00,5
ACTIVE_POWER_STATION,387.95007,2023-11-16 22:23:00,2023-11-16 22:26:00,4
ACTIVE_POWER_STATION,388.4112,2023-11-17 09:52:00,2023-11-17 09:56:00,5
ACTIVE_POWER_STATION,388.3078,2023-11-17 10:16:00,2023-11-17 10:21:00,6
ACTIVE_POWER_STATION,388.42993,2023-11-17 10:22:00,2023-11-17 10:27:00,6
ACTIVE_POWER_STATION,383.79926,2023-11-17 12:46:00,2023-11-17 12:51:00,6
ACTIVE_POWER_STATION,0.0,2023-11-19 14:04:00,2023-11-19 14:08:00,5
ACTIVE_POWER_STATION,0.0,2023-11-20 03:00:00,2023-11-20 03:06:00,7
ACTIVE_POWER_STATION,381.7915,2023-11-23 14:37:00,2023-11-23 14:41:00,5
ACTIVE_POWER_STATION,381.39285,2023-11-23 17:25:00,2023-11-23 17:30:00,6
ACTIVE_POWER_STATION,385.64078,2023-11-23 20:38:00,2023-11-23 20:41:00,4
ACTIVE_POWER_STATION,386.53705,2023-11-29 15:52:00,2023-11-29 15:56:00,5
ACTIVE_POWER_STATION,386.36298,2023-11-29 16:05:00,2023-11-29 16:08:00,4
ACTIVE_POWER_STATION,386.0028,2023-11-29 18:11:00,2023-11-29 18:14:00,4
ACTIVE_POWER_STATION,385.77856,2023-11-29 19:46:00,2023-11-29 19:51:00,6
ACTIVE_POWER_STATION,385.8148,2023-11-29 20:23:00,2023-11-29 20:26:00,4
ACTIVE_POWER_STATION,385.75247,2023-11-29 20:29:00,2023-11-29 20:33:00,5
ACTIVE_POWER_STATION,0.0,2023-12-03 00:42:00,2023-12-03 00:45:00,4
ACTIVE_POWER_STATION,0.0,2023-12-04 23:18:00,2023-12-04 23:23:00,6
ACTIVE_POWER_STATION,0.0,2023-12-04 23:40:00,2023-12-04 23:49:00,10
ACTIVE_POWER_STATION,0.0,2023-12-04 23:51:00,2023-12-04 23:55:00,5
ACTIVE_POWER_STATION,0.0,2023-12-05 03:38:00,2023-12-05 03:43:00,6
ACTIVE_POWER_STATION,0.0,2023-12-05 03:59:00,2023-12-05 04:02:00,4
ACTIVE_POWER_STATION,0.0,2023-12-05 10:26:00,2023-12-05 10:30:00,5
ACTIVE_POWER_STATION,0.0,2023-12-05 10:34:00,2023-12-05 10:40:00,7
ACTIVE_POWER_STATION,0.0,2023-12-05 12:22:00,2023-12-05 12:25:00,4
ACTIVE_POWER_STATION,0.0,2023-12-05 22:48:00,2023-12-05 22:54:00,7
ACTIVE_POWER_STATION,368.5208,2023-12-06 11:37:00,2023-12-06 11:41:00,5
ACTIVE_POWER_STATION,368.63483,2023-12-06 11:43:00,2023-12-06 11:47:00,5
ACTIVE_POWER_STATION,372.2598,2023-12-06 15:08:00,2023-12-06 15:11:00,4
ACTIVE_POWER_STATION,372.18683,2023-12-06 15:50:00,2023-12-06 15:54:00,5
ACTIVE_POWER_STATION,372.22302,2023-12-06 15:56:00,2023-12-06 16:01:00,6
ACTIVE_POWER_STATION,0.0,2023-12-07 00:26:00,2023-12-07 00:35:00,10
ACTIVE_POWER_STATION,0.0,2023-12-07 00:37:00,2023-12-07 00:40:00,4
ACTIVE_POWER_STATION,368.09674,2023-12-07 18:39:00,2023-12-07 18:44:00,6
ACTIVE_POWER_STATION,368.00037,2023-12-07 18:50:00,2023-12-07 18:55:00,6
ACTIVE_POWER_STATION,367.93573,2023-12-07 19:26:00,2023-12-07 19:29:00,4
ACTIVE_POWER_STATION,367.9087,2023-12-07 19:56:00,2023-12-07 20:01:00,6
ACTIVE_POWER_STATION,368.0631,2023-12-07 20:02:00,2023-12-07 20:07:00,6
ACTIVE_POWER_STATION,367.92664,2023-12-07 20:20:00,2023-12-07 20:23:00,4
ACTIVE_POWER_STATION,367.9905,2023-12-07 20:38:00,2023-12-07 20:42:00,5
ACTIVE_POWER_STATION,364.0499,2023-12-07 21:02:00,2023-12-07 21:07:00,6
ACTIVE_POWER_STATION,363.81424,2023-12-07 22:27:00,2023-12-07 22:31:00,5
ACTIVE_POWER_STATION,363.98615,2023-12-07 22:50:00,2023-12-07 22:55:00,6
ACTIVE_POWER_STATION,363.75388,2023-12-07 23:15:00,2023-12-07 23:18:00,4
ACTIVE_POWER_STATION,364.09418,2023-12-08 00:26:00,2023-12-08 00:29:00,4
ACTIVE_POWER_STATION,364.03644,2023-12-08 00:32:00,2023-12-08 00:37:00,6
ACTIVE_POWER_STATION,364.05145,2023-12-08 00:38:00,2023-12-08 00:43:00,6
ACTIVE_POWER_STATION,364.00012,2023-12-08 00:52:00,2023-12-08 00:55:00,4
ACTIVE_POWER_STATION,364.0148,2023-12-08 00:58:00,2023-12-08 01:01:00,4
ACTIVE_POWER_STATION,363.9949,2023-12-08 01:26:00,2023-12-08 01:31:00,6
ACTIVE_POWER_STATION,364.1996,2023-12-08 01:33:00,2023-12-08 01:37:00,5
ACTIVE_POWER_STATION,0.0,2023-12-09 09:36:00,2023-12-09 09:39:00,4
ACTIVE_POWER_STATION,0.0,2023-12-09 11:15:00,2023-12-09 11:21:00,7
ACTIVE_POWER_STATION,0.0,2023-12-09 16:20:00,2023-12-09 16:26:00,7
ACTIVE_POWER_STATION,380.48608,2023-12-10 07:51:00,2023-12-10 07:56:00,6
ACTIVE_POWER_STATION,380.4596,2023-12-10 07:57:00,2023-12-10 08:02:00,6
ACTIVE_POWER_STATION,380.13867,2023-12-10 08:09:00,2023-12-10 08:14:00,6
ACTIVE_POWER_STATION,380.04416,2023-12-10 08:15:00,2023-12-10 08:18:00,4
ACTIVE_POWER_STATION,380.17273,2023-12-10 08:21:00,2023-12-10 08:26:00,6
ACTIVE_POWER_STATION,379.92206,2023-12-10 08:40:00,2023-12-10 08:43:00,4
ACTIVE_POWER_STATION,380.12347,2023-12-10 08:51:00,2023-12-10 08:56:00,6
ACTIVE_POWER_STATION,380.12488,2023-12-10 08:59:00,2023-12-10 09:02:00,4
ACTIVE_POWER_STATION,380.7753,2023-12-10 21:10:00,2023-12-10 21:13:00,4
ACTIVE_POWER_STATION,380.57632,2023-12-10 21:16:00,2023-12-10 21:19:00,4
ACTIVE_POWER_STATION,380.61893,2023-12-10 21:22:00,2023-12-10 21:26:00,5
ACTIVE_POWER_STATION,380.05545,2023-12-11 18:41:00,2023-12-11 18:44:00,4
ACTIVE_POWER_STATION,380.2561,2023-12-11 22:00:00,2023-12-11 22:03:00,4
ACTIVE_POWER_STATION,0.0,2023-12-14 20:27:00,2023-12-14 20:30:00,4
ACTIVE_POWER_STATION,376.35956,2023-12-15 05:56:00,2023-12-15 05:59:00,4
ACTIVE_POWER_STATION,376.6095,2023-12-15 07:01:00,2023-12-15 07:05:00,5
ACTIVE_POWER_STATION,376.53177,2023-12-15 08:18:00,2023-12-15 08:21:00,4
ACTIVE_POWER_STATION,376.56424,2023-12-15 08:26:00,2023-12-15 08:29:00,4
ACTIVE_POWER_STATION,372.52576,2023-12-15 09:02:00,2023-12-15 09:05:00,4
ACTIVE_POWER_STATION,376.25964,2023-12-15 10:13:00,2023-12-15 10:17:00,5
ACTIVE_POWER_STATION,376.64728,2023-12-15 13:55:00,2023-12-15 13:59:00,5
ACTIVE_POWER_STATION,376.4261,2023-12-15 14:36:00,2023-12-15 14:39:00,4
ACTIVE_POWER_STATION,372.56195,2023-12-15 16:12:00,2023-12-15 16:16:00,5
ACTIVE_POWER_STATION,380.35828,2023-12-20 14:38:00,2023-12-20 14:41:00,4
ACTIVE_POWER_STATION,376.45367,2023-12-20 14:58:00,2023-12-20 15:02:00,5
ACTIVE_POWER_STATION,376.3737,2023-12-20 15:04:00,2023-12-20 15:07:00,4
ACTIVE_POWER_STATION,0.0,2023-12-23 12:46:00,2023-12-23 12:49:00,4
ACTIVE_POWER_STATION,0.0,2023-12-23 12:52:00,2023-12-23 12:56:00,5
ACTIVE_POWER_STATION,0.0,2023-12-23 13:10:00,2023-12-23 13:13:00,4
ACTIVE_POWER_STATION,0.0,2023-12-23 14:04:00,2023-12-23 14:09:00,6
ACTIVE_POWER_STATION,0.0,2023-12-26 01:00:00,2023-12-26 01:04:00,5
ACTIVE_POWER_STATION,0.0,2023-12-26 09:42:00,2023-12-26 09:45:00,4
ACTIVE_POWER_STATION,0.0,2023-12-26 14:53:00,2023-12-26 15:02:00,10
ACTIVE_POWER_STATION,0.0,2023-12-28 15:23:00,2023-12-28 15:28:00,6
ACTIVE_POWER_STATION,0.0,2023-12-28 15:44:00,2023-12-28 15:56:00,13
ACTIVE_POWER_STATION,0.0,2023-12-28 17:07:00,2023-12-28 17:14:00,8
ACTIVE_POWER_STATION,0.0,2023-12-28 18:25:00,2023-12-28 18:28:00,4
