风机编号,原始联合重复段数_仅用于统计,原始联合重复总持续长度_仅用于统计,仅正功率重复段数,仅正功率重复总持续长度,被剔除零负或无效功率重复段数,被剔除重复总持续长度,仅正功率重复段占比,仅正功率重复持续长度占比
52,48,22001,30,21900,18,101,0.625,0.995409299577292
88,83,55857,29,18598,54,37259,0.3493975903614458,0.3329573732925148
49,45,16591,26,3521,19,13070,0.5777777777777777,0.21222349466578266
98,59,16339,35,2662,24,13677,0.5932203389830508,0.16292306750719138
44,62,20985,36,753,26,20232,0.5806451612903226,0.03588277340957827
81,54,13967,32,717,22,13250,0.5925925925925926,0.05133529032719983
46,59,26071,31,424,28,25647,0.5254237288135594,0.016263281040236277
13,89,13748,30,353,59,13395,0.33707865168539325,0.02567646203084085
16,66,13514,28,344,38,13170,0.42424242424242425,0.02545508361698979
14,55,13523,27,341,28,13182,0.4909090909090909,0.0252162981586926
83,52,13446,34,321,18,13125,0.6538461538461539,0.023873270861222668
86,56,13502,34,321,22,13181,0.6071428571428571,0.023774255665827283
85,54,13404,33,317,21,13087,0.6111111111111112,0.02364965681886004
90,49,13474,33,317,16,13157,0.673469387755102,0.02352679234080451
97,56,13488,33,316,23,13172,0.5892857142857143,0.0234282325029656
72,59,13820,33,315,26,13505,0.559322033898305,0.022793053545586108
53,53,13474,33,313,20,13161,0.6226415094339622,0.02322992429864925
71,52,13398,33,313,19,13085,0.6346153846153846,0.02336169577548888
93,52,13461,32,313,20,13148,0.6153846153846154,0.023252358665775203
95,60,13501,32,312,28,13189,0.5333333333333333,0.023109399303755277
33,58,14083,32,309,26,13774,0.5517241379310345,0.02194134772420649
56,48,13393,32,309,16,13084,0.6666666666666666,0.02307175390129172
60,48,13428,32,309,16,13119,0.6666666666666666,0.023011617515638964
67,57,13468,32,309,25,13159,0.5614035087719298,0.022943272943272943
70,54,13453,32,309,22,13144,0.5925925925925926,0.022968854530587973
77,57,13665,32,309,25,13356,0.5614035087719298,0.02261251372118551
84,50,13453,31,309,19,13144,0.62,0.022968854530587973
87,53,13540,31,309,22,13231,0.5849056603773585,0.022821270310192023
89,57,13479,31,309,26,13170,0.543859649122807,0.022924549298909414
2,161,14133,31,308,130,13825,0.19254658385093168,0.021792966815255076
74,57,13813,31,307,26,13506,0.543859649122807,0.02222543980308405
78,52,13528,31,307,21,13221,0.5961538461538461,0.022693672383205205
82,53,13542,31,306,22,13236,0.5849056603773585,0.02259636685866194
35,48,13416,31,305,17,13111,0.6458333333333334,0.022734048896839595
58,50,13439,31,305,19,13134,0.62,0.02269514100751544
62,57,13477,31,305,26,13172,0.543859649122807,0.02263114936558581
63,48,13384,31,305,17,13079,0.6458333333333334,0.022788404064554693
68,55,13469,31,305,24,13164,0.5636363636363636,0.02264459128368847
76,53,13464,31,305,22,13159,0.5849056603773585,0.022653000594177065
99,56,13459,31,304,25,13155,0.5535714285714286,0.022587116427669217
3,50,13440,30,304,20,13136,0.6,0.02261904761904762
96,53,29019,30,303,23,28716,0.5660377358490566,0.01044143492194769
59,55,13461,31,302,24,13159,0.5636363636363636,0.02243518312161058
79,51,13531,30,302,21,13229,0.5882352941176471,0.022319119059936443
7,91,13627,30,301,61,13326,0.32967032967032966,0.022088500770529096
8,48,13419,30,301,18,13118,0.625,0.022430881585811163
39,56,13431,30,301,26,13130,0.5357142857142857,0.022410840592658774
42,58,13412,30,301,28,13111,0.5172413793103449,0.02244258872651357
54,50,22017,30,301,20,21716,0.6,0.013671254030976064
57,55,13475,30,301,25,13174,0.5454545454545454,0.022337662337662337
64,48,13383,30,301,18,13082,0.625,0.022491220204737355
65,49,13401,30,301,19,13100,0.6122448979591837,0.02246101037236027
69,52,13452,30,301,22,13151,0.5769230769230769,0.022375854891465954
5,58,13423,29,300,29,13123,0.5,0.02234969827907323
91,58,13513,29,300,29,13213,0.5,0.02220084363205802
18,70,12888,29,297,41,12591,0.4142857142857143,0.023044692737430168
19,55,13450,29,297,26,13153,0.5272727272727272,0.0220817843866171
24,55,13412,29,297,26,13115,0.5272727272727272,0.02214434834476588
27,48,13419,29,297,19,13122,0.6041666666666666,0.022132796780684104
48,48,20246,29,297,19,19949,0.6041666666666666,0.014669564358391781
94,50,13441,29,297,21,13144,0.58,0.022096570195669966
55,53,13469,29,296,24,13173,0.5471698113207547,0.021976390229415697
75,55,13539,29,296,26,13243,0.5272727272727272,0.021862766821774134
37,61,13589,29,295,32,13294,0.47540983606557374,0.02170873500625506
36,51,13451,28,295,23,13156,0.5490196078431373,0.021931454910415583
12,52,13449,28,293,24,13156,0.5384615384615384,0.021786006394527473
17,61,13504,28,293,33,13211,0.45901639344262296,0.021697274881516588
29,49,13361,28,293,21,13068,0.5714285714285714,0.021929496295187485
32,50,13425,28,292,22,13133,0.56,0.02175046554934823
38,59,13437,28,292,31,13145,0.4745762711864407,0.021731041155019722
22,49,13374,28,291,21,13083,0.5714285714285714,0.021758636159712876
73,93,19734,28,291,65,19443,0.3010752688172043,0.014746123441775616
40,51,13378,27,289,24,13089,0.5294117647058824,0.02160263118552848
43,49,20023,27,289,22,19734,0.5510204081632653,0.0144334015881736
6,50,13375,27,288,23,13087,0.54,0.021532710280373832
9,49,18622,27,288,22,18334,0.5510204081632653,0.015465578348190312
10,51,13417,27,288,24,13129,0.5294117647058824,0.021465305209808452
23,48,13416,27,288,21,13128,0.5625,0.02146690518783542
100,62,13505,27,288,35,13217,0.43548387096774194,0.02132543502406516
31,54,13443,27,286,27,13157,0.5,0.021275013017927547
4,74,13542,26,285,48,13257,0.35135135135135137,0.02104563579973416
28,48,13467,26,285,22,13182,0.5416666666666666,0.021162842503898417
1,150,14019,26,284,124,13735,0.17333333333333334,0.02025822098580498
25,50,13412,26,284,24,13128,0.52,0.021175067104085895
47,47,13361,26,284,21,13077,0.5531914893617021,0.02125589401990869
21,57,13459,26,283,31,13176,0.45614035087719296,0.02102682220075786
45,59,13644,25,275,34,13369,0.423728813559322,0.020155379654060394
20,59,13413,24,275,35,13138,0.4067796610169492,0.020502497576977557
30,48,13407,23,271,25,13136,0.4791666666666667,0.020213321399269037
50,50,13431,25,258,25,13173,0.5,0.019209291936564662
15,50,13527,21,241,29,13286,0.42,0.0178162194130258
92,53,13563,28,223,25,13340,0.5283018867924528,0.0164417901644179
51,49,13510,25,207,24,13303,0.5102040816326531,0.0153219837157661
66,55,13506,23,200,32,13306,0.41818181818181815,0.014808233377758034
26,48,13420,23,197,25,13223,0.4791666666666667,0.014679582712369597
41,54,13407,21,189,33,13218,0.3888888888888889,0.014097113448198702
80,53,13538,21,189,32,13349,0.39622641509433965,0.013960703205791106
11,57,13386,21,186,36,13200,0.3684210526315789,0.013895114298520844
34,77,13552,17,170,60,13382,0.22077922077922077,0.012544273907910271
61,55,13415,14,81,41,13334,0.2545454545454545,0.006038017144986955
