风机编号,联合重复总长度
1,284
2,308
3,304
4,285
5,300
6,288
7,301
8,301
9,288
10,288
11,186
12,293
13,353
14,341
15,241
16,344
17,293
18,297
19,297
20,275
21,283
22,291
23,288
24,297
25,284
26,197
27,297
28,285
29,293
30,271
31,286
32,292
33,309
34,170
35,305
36,295
37,295
38,292
39,301
40,289
41,189
42,301
43,289
44,753
45,275
46,424
47,284
48,297
49,3521
50,258
51,207
52,21900
53,313
54,301
55,296
56,309
57,301
58,305
59,302
60,309
61,81
62,305
63,305
64,301
65,301
66,200
67,309
68,305
69,301
70,309
71,313
72,315
73,291
74,307
75,296
76,305
77,309
78,307
79,302
80,189
81,717
82,306
83,321
84,309
85,317
86,321
87,309
88,18598
89,309
90,317
91,300
92,223
93,313
94,297
95,312
96,303
97,316
98,2662
99,304
100,288
